Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9
potatoes,0.053792924,-1.3652748,0.8872202,-3.541216,-0.41414014,0.4201112,0.7539506,-0.6904409,0.25498512,1.6255217
beetroot_beets,0.7188134,1.3523082,-1.3374377,1.2621546,0.88725954,0.7124746,0.79887015,-0.4613801,-3.8624377,0.09904457
carrots_daucus,-5.2209682,-0.3039207,2.5115073,3.6909509,-0.664031,-1.1496488,-1.7808988,1.7151031,5.030277,-4.495709
turnips,3.324748,-0.67916155,-0.4843027,0.4648457,-0.9861447,-0.18694139,-0.38115528,0.79772073,0.25826505,-0.38253292
