Band_Index,Gini_Importance
0,0.12164040160893717
1,0.034339914193562575
2,0.046848405510988095
3,0.1282294989086327
4,0.06252001122893848
5,0.0527328361417154
6,0.10161541790590457
7,0.06892292563554167
8,0.29813901871057513
9,0.08501157015520423
