Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9
winter_barley,0.23605208,0.3845591,0.37677792,0.50670636,0.13731705,-0.10133416,-0.016098203,0.024566049,0.274799,0.12793685
winter_common_soft_wheat,-0.08180446,-0.2870735,-0.24265397,-0.3741493,-0.2926565,0.02884202,0.024280941,0.026559623,-0.3621887,-0.23268752
spring_barley,-0.2487412,-0.20718586,-0.3946569,-0.29000172,0.17312706,0.0387331,-0.06219349,-0.066466056,-0.22024238,-0.17219137
spring_common_soft_wheat,-0.056046106,0.0032593221,-0.06251669,-0.032699496,0.104725465,-0.06995493,-0.07066039,-0.18990555,0.40138713,0.32541806
