Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22,Band_23,Band_24,Band_25,Band_26,Band_27,Band_28,Band_29,Band_30,Band_31,Band_32,Band_33,Band_34,Band_35,Band_36,Band_37,Band_38,Band_39,Band_40,Band_41,Band_42,Band_43,Band_44,Band_45,Band_46,Band_47,Band_48,Band_49,Band_50,Band_51,Band_52,Band_53,Band_54,Band_55,Band_56,Band_57,Band_58,Band_59,Band_60,Band_61,Band_62,Band_63,Band_64,Band_65,Band_66,Band_67,Band_68,Band_69,Band_70,Band_71,Band_72,Band_73,Band_74,Band_75,Band_76,Band_77,Band_78,Band_79,Band_80,Band_81,Band_82,Band_83,Band_84,Band_85,Band_86,Band_87,Band_88,Band_89,Band_90,Band_91,Band_92,Band_93,Band_94,Band_95,Band_96,Band_97,Band_98,Band_99,Band_100,Band_101,Band_102,Band_103,Band_104,Band_105,Band_106,Band_107,Band_108,Band_109,Band_110,Band_111,Band_112,Band_113,Band_114,Band_115,Band_116,Band_117,Band_118,Band_119,Band_120,Band_121,Band_122,Band_123,Band_124,Band_125,Band_126,Band_127,Band_128,Band_129,Band_130,Band_131,Band_132,Band_133,Band_134,Band_135,Band_136,Band_137,Band_138,Band_139,Band_140,Band_141,Band_142,Band_143,Band_144,Band_145,Band_146,Band_147,Band_148,Band_149,Band_150,Band_151,Band_152,Band_153,Band_154,Band_155,Band_156,Band_157,Band_158,Band_159,Band_160,Band_161,Band_162,Band_163,Band_164,Band_165,Band_166,Band_167,Band_168,Band_169,Band_170,Band_171,Band_172,Band_173,Band_174,Band_175,Band_176,Band_177,Band_178,Band_179,Band_180,Band_181,Band_182,Band_183,Band_184,Band_185,Band_186,Band_187,Band_188,Band_189,Band_190,Band_191,Band_192,Band_193,Band_194,Band_195,Band_196,Band_197,Band_198,Band_199,Band_200,Band_201,Band_202,Band_203,Band_204,Band_205,Band_206,Band_207,Band_208,Band_209,Band_210,Band_211,Band_212,Band_213,Band_214,Band_215,Band_216,Band_217
temporary_grass,0.5128144,0.6570882,-1.1332282,0.5561062,0.9239188,0.9837001,-0.2587653,-0.5877762,-0.7860878,-1.0742235,-1.1552738,-0.9168746,-0.6419634,-0.68038493,-0.6869034,-0.31676248,-0.22760177,-0.010677917,0.117296234,-0.028072372,0.010946624,0.21399878,0.20093183,-0.20383969,-0.2529587,-0.10021748,0.3333765,0.3744291,0.447667,0.6042504,0.6493722,0.49934763,2.3403792,2.0583992,1.9397304,1.6690315,1.3115665,1.2524709,0.9476047,0.8686444,-0.22238302,-0.21088596,0.20402119,-0.055363424,-0.33426294,-0.5444844,-0.69421583,-0.83897716,-1.0629516,-1.5138873,-1.4358498,-0.93343866,-0.90938354,-1.2036469,-1.582622,-0.7949596,-1.220838,-1.342217,-0.56715983,-0.01903131,0.54854774,-0.72269624,0.23949121,0.1766974,0.18657486,0.16531767,-0.06144698,0.43413955,-0.1634704,0.09453785,-0.38413954,0.015556144,-0.6764672,0.47206935,-0.10834172,-0.8055147,0.60047215,-1.477875,-1.2841079,0.1951241,-0.19819976,0.97090274,-0.14184818,1.2228647,-0.14295472,2.2026753,0.4939921,-1.0077385,0.40697825,-1.6835147,-0.6956787,-0.4194286,0.74504066,-1.2988796,0.21261442,-0.75480056,0.5236462,-0.88783777,0.36469966,5.3865733,-5.0538683,-0.3169747,0.30937082,0.3799595,0.42431754,0.5174042,0.5759659,0.21022867,0.29841274,0.53053653,0.2326665,1.3191051,0.940384,1.473309,-1.7162776,-1.5490277,0.24653634,0.6697473,0.9260652,0.5838302,0.47002736,0.39650732,0.4697827,1.114738,0.38985658,-0.1439039,-0.32643205,-0.68913573,-0.66403335,-0.28224036,-0.6554974,-1.7686721,-1.1639029,-0.9746009,-0.68088794,-0.46543455,-0.2994129,-0.07821575,0.08073961,-0.26325804,-0.034714684,0.048324358,-0.060623568,0.18617707,0.26952463,0.37535113,0.39661187,0.4230762,0.37648493,0.499846,0.34273067,0.27399218,0.44907477,0.03856077,0.012599742,-0.42433342,-0.7848896,0.23515195,1.7272372,-0.027814798,0.09228142,0.36674786,0.47692156,1.6527236,0.38836846,-0.06152019,-0.2686096,0.32500306,0.5941696,0.87843716,0.34542048,-0.09018263,-0.12476384,0.17254037,0.08790462,0.09638246,0.13946138,0.17208688,0.121827155,0.07643733,0.046982717,-0.01488742,-0.19583069,-0.28929952,-0.21560338,-0.23609176,-0.34924474,-0.32354686,-0.012969932,0.15461993,0.3173865,0.44418406,0.5573714,0.35366878,0.3132363,0.32542175,0.375812,0.48579785,0.42911616,0.33456165,0.8763711,-0.06099452,0.20095064,0.5326756,0.42720157,-0.27617693,-0.009910951,-0.14123309,-0.2820151,-0.58157635,-0.63486135,-0.2716306,-0.44199926,-0.5682475,-1.1672077,-0.2799384,-1.4234798,-0.46240366
pasture_meadow_grassland_grass,-1.5969341,-1.7653645,0.8676655,0.02205426,0.45378286,0.6631527,0.6727534,0.40258586,0.17973055,0.23175709,0.18238135,0.18519105,0.1574531,0.17207868,0.2915539,0.4946633,0.26888543,0.41860753,0.2603768,0.16214067,0.19824864,0.2534221,0.07446534,0.20868699,0.1747339,0.28155243,0.12338868,0.29578426,0.23240443,0.20190844,-0.03884244,0.04390957,-0.6459921,-0.58805543,-0.6856154,-0.6454191,-0.58888197,-0.6169434,-0.5687685,-0.5194662,0.15868084,0.21143092,-0.25862244,-0.148777,-0.06836505,-0.08684003,0.15972464,0.14766152,0.22845708,0.89545614,0.41841108,-0.10764382,0.06721749,0.19410868,0.45592508,0.54184026,0.37486672,0.8853571,0.5153653,-0.082137994,-1.2102664,0.38064498,-0.1840678,-0.55685055,0.007113814,-0.28269574,-0.59670466,-0.5305037,0.37561506,0.396756,0.47588986,-0.012055431,0.7432389,-0.6436381,0.27748394,0.4275934,-1.2138641,1.7974508,0.48298782,-1.2534956,1.4718627,0.030728685,-1.0706799,0.6050595,-0.88637257,-1.2535264,0.75538963,0.8871282,-1.7364167,-0.19844903,-0.449033,-0.94757485,-0.19833276,-0.2188794,0.12820117,-0.3377536,-0.6394459,-0.41704166,-1.2214358,-2.8425438,1.194314,-0.60165125,-0.85120136,-0.86309624,-0.94483715,-0.8215109,-0.57374495,0.08414046,0.17109062,0.39097828,1.3410323,3.2211337,-1.489739,-0.76282954,0.9506791,1.4904348,0.41887292,-0.42444175,-0.4364214,-0.347353,-0.054644063,0.41226205,0.69847304,0.5547698,0.62888193,1.4397103,1.9051225,2.207181,2.6523478,-0.27660277,-0.5144746,0.12471062,-0.07331709,-0.24710976,-0.5005542,-0.67292356,-0.8514537,-0.9285695,-1.0259395,-0.90758604,-1.0681635,-1.0512879,-0.9287033,-1.0973082,-1.0236275,-0.95132583,-0.97200894,-0.9991088,-0.9579955,-0.9802529,-0.7494631,-0.66205996,-0.9813082,-0.58388644,-0.62173617,-0.46042553,-0.15838757,-0.7517621,-1.4939393,0.06635514,0.45448378,0.038770612,-0.1683644,-1.1705927,-0.5119699,-0.5838579,-0.09299343,-0.36511904,-0.5795202,-0.7778659,-0.45194283,-0.14747223,0.013286243,-0.07899195,-0.117302865,-0.035805173,-0.053475514,0.58053595,0.21953039,0.22507052,0.41398537,0.80539185,0.75318664,0.76628673,1.0435319,0.8822731,0.954669,0.6663612,0.31850082,0.08625252,-0.04731146,0.06057643,0.041170493,0.0081362445,0.1177521,0.13351414,0.055361073,-0.09854059,-0.07014256,-0.15348567,-0.07073346,0.123481154,-0.10982264,-0.37564394,-0.28622293,0.14808436,0.14635384,0.36499566,0.3434557,0.6129659,0.69991195,0.51586205,0.62394047,0.55844516,1.2690201,0.88406086,1.8294469,0.8594503
alfalfa_lucerne,-0.89694935,0.5880585,-0.29476053,-0.8708669,-1.0568129,-0.8179731,-0.28043532,0.059489563,-0.017629568,0.17121361,0.35743883,0.4996739,0.36152944,0.4682395,0.7578765,0.63251203,0.7033481,0.46552736,0.64724654,0.73668087,0.18596691,0.2303175,0.02733315,-0.12600379,-0.32416815,-0.7223963,-1.0872493,-1.3931134,-1.3853697,-1.6329056,-1.5613887,-1.5360837,0.38720235,0.48443457,0.54069674,0.5801986,0.39300707,0.36688715,0.3031292,0.32657066,-0.64373034,-0.5340997,0.35738838,0.22822873,0.43300286,0.5551827,0.45824182,0.709253,0.96753556,0.425777,0.5895018,0.5723748,-0.29232416,-0.48711774,0.51266676,1.6782974,2.464733,1.8141158,0.71853393,0.66288126,0.68153244,1.456784,0.46420842,0.4348816,-0.06646398,0.045256373,-0.041721985,-0.28944868,0.23628783,-0.17468256,0.35897607,-0.41703805,-0.08680836,-0.19307905,-0.2856344,1.3791078,-1.0432072,0.27846956,1.2778956,0.72738004,-0.5496959,-0.89125055,0.6333193,-2.3240392,0.44587135,-3.6642764,-0.46956757,-1.5446713,1.1523006,1.5635922,1.0907954,1.5870095,-1.155211,1.4212093,-0.3467438,0.9686059,0.42714745,0.9172024,0.09957353,-1.1527795,1.8078914,0.45934227,0.5281,0.38115662,0.33268932,0.15730217,-0.08264608,-0.7971513,-1.0208652,-1.3009384,-1.6715161,-3.4908075,0.21703342,-0.4826315,1.0695297,0.41542932,-0.2967226,0.15357658,-0.038387,0.14262071,0.025529182,-0.31615332,-0.58331674,-0.44074768,0.12051607,-0.6899701,-1.059263,-1.2105212,-0.36011562,1.1041529,1.2503142,1.5109502,0.65499425,0.43672338,0.1568913,0.03625842,0.15666208,0.19842122,0.070721574,0.68426126,0.6689568,0.354495,0.6912889,0.6762761,0.3494789,0.26736027,0.39650518,0.2723569,0.19265418,-0.017346855,-0.017168868,-0.23203349,-0.41491687,-0.2817719,-0.20364332,0.18815601,-0.018779159,-1.005554,-1.412045,2.254388,1.9765697,0.8857117,-0.06152885,-3.15296,0.6031488,0.87026495,1.4443587,0.09920708,-0.5734909,-1.1037087,0.6451027,1.4687345,1.3605409,1.2721936,1.1235175,1.3289831,1.150934,0.37485233,0.6675145,0.44362393,-0.4704601,-0.6815864,-0.5482098,-0.87223905,-1.4451993,-1.1829032,-1.1188143,-0.47384033,-0.715075,-0.614254,-0.5464164,-0.5979494,-0.4280834,-0.42506266,-0.3022334,-0.21630278,-0.6460491,-1.2703496,-0.9975241,-0.57223403,-1.7361866,0.27470046,-0.5093046,-1.213983,-1.3037893,0.5466538,-0.40975633,-0.56231016,-0.5206523,0.09113792,0.4179561,-0.27781844,-0.3811177,-0.30667573,2.0140686,-0.6977823,3.190903,-2.0831876
lolium_ryegrass,1.0544404,0.18632534,0.10419279,-0.02627556,-0.33218986,-0.93980706,0.07435573,0.15991443,0.9375918,0.6664648,0.42568532,-0.014199796,-0.04980907,-0.1913811,-0.65409493,-0.910635,-1.0461202,-1.2485621,-1.3108888,-1.1184113,-0.64600253,-0.67036426,-0.23697601,0.24297002,0.50241697,0.5045403,0.71534586,0.7416663,0.6257305,0.96526635,1.1633282,1.2412927,-1.5210133,-1.3004183,-1.1181428,-0.88158745,-0.41246867,-0.2419939,-0.0711419,-0.10636779,1.1715328,0.95222586,0.1939184,0.31107992,0.3731071,0.39707452,0.26817316,0.19980401,0.12600869,0.18989836,0.52552986,0.5601119,1.0765429,0.91185474,-0.47597602,-2.5962114,-2.3248813,-2.0146158,-1.0686129,-0.47230047,-0.17091061,-0.8020549,-0.0722737,0.22660993,0.3056382,0.19695954,1.1284347,0.3638191,-0.46410605,-0.69960356,-0.5819633,0.6941853,-0.2341279,0.32220852,-0.27098525,-1.0235523,1.4987959,-0.71556276,-0.4180645,-0.0509292,-1.2034687,-0.7091721,0.73155516,0.65328467,0.31845817,1.6727964,-0.86064255,1.8474537,0.17274909,1.9466839,-0.101401,0.9155687,1.0086122,-0.085183606,0.55135465,0.34622833,0.35698047,0.66361666,1.6061448,-1.9436638,4.1305547,0.8585676,0.3409498,0.3814443,0.39459696,0.19807738,0.06293917,0.24427181,0.23644912,0.052100874,-0.29894614,-1.7874534,0.3409099,-0.086434826,-0.5759983,-0.56148326,-0.4676983,-0.4127783,-0.35905558,-0.30472323,-0.16073842,-0.22703932,-0.3356256,-1.0453323,-0.9028176,-0.4395975,-0.38522094,-0.2967532,-1.784182,-1.2338576,-0.17670374,-0.08858659,0.07236077,0.16591583,0.42878655,0.50294757,0.42303345,0.32531977,0.33903307,0.14688534,0.20205267,0.36314148,0.12343874,0.024363259,0.15447773,0.03278834,0.017803865,-0.032962456,0.06287055,0.24293154,0.23526831,0.41729802,0.6753061,0.7036643,0.5353534,0.6441834,0.7237662,0.18845592,0.45150062,-0.82942283,-1.3692125,-0.7402405,0.060789295,1.7115028,-0.13897972,-0.27050507,-0.92359865,-0.17111976,0.28938946,0.48023427,-0.46577662,-0.9702142,-1.093759,-1.1794862,-0.9469862,-1.1592826,-1.0891826,-0.99812824,-0.92477584,-0.75076056,-0.1994875,-0.15367432,0.030326732,0.2576911,0.508616,0.4635565,0.49084935,0.21880639,0.259992,0.22492337,-0.029300984,-0.13749927,-0.3837857,-0.17738435,-0.18794014,-0.37802503,0.09295343,0.639493,0.44994068,0.45267612,0.64885616,-0.02689245,0.40119445,0.84996116,0.9316556,0.011908364,0.4154843,0.308979,0.5790504,0.31718463,0.23621258,0.4467717,0.4532096,0.7779494,-0.52778333,0.8527044,-1.372912,1.9124539
