Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22,Band_23,Band_24,Band_25,Band_26,Band_27,Band_28,Band_29,Band_30,Band_31,Band_32,Band_33,Band_34,Band_35,Band_36,Band_37,Band_38,Band_39,Band_40,Band_41,Band_42,Band_43,Band_44,Band_45,Band_46,Band_47,Band_48,Band_49,Band_50,Band_51,Band_52,Band_53,Band_54,Band_55,Band_56,Band_57,Band_58,Band_59,Band_60,Band_61,Band_62,Band_63,Band_64,Band_65,Band_66,Band_67,Band_68,Band_69,Band_70,Band_71,Band_72,Band_73,Band_74,Band_75,Band_76,Band_77,Band_78,Band_79,Band_80,Band_81,Band_82,Band_83,Band_84,Band_85,Band_86,Band_87,Band_88,Band_89,Band_90,Band_91,Band_92,Band_93,Band_94,Band_95,Band_96,Band_97,Band_98,Band_99,Band_100,Band_101,Band_102,Band_103,Band_104,Band_105,Band_106,Band_107,Band_108,Band_109,Band_110,Band_111,Band_112,Band_113,Band_114,Band_115,Band_116,Band_117,Band_118,Band_119,Band_120,Band_121,Band_122,Band_123,Band_124,Band_125,Band_126,Band_127,Band_128,Band_129,Band_130,Band_131,Band_132,Band_133,Band_134,Band_135,Band_136,Band_137,Band_138,Band_139,Band_140,Band_141,Band_142,Band_143,Band_144,Band_145,Band_146,Band_147,Band_148,Band_149,Band_150,Band_151,Band_152,Band_153,Band_154,Band_155,Band_156,Band_157,Band_158,Band_159,Band_160,Band_161,Band_162,Band_163,Band_164,Band_165,Band_166,Band_167,Band_168,Band_169,Band_170,Band_171,Band_172,Band_173,Band_174,Band_175,Band_176,Band_177,Band_178,Band_179,Band_180,Band_181,Band_182,Band_183,Band_184,Band_185,Band_186,Band_187,Band_188,Band_189,Band_190,Band_191,Band_192,Band_193,Band_194,Band_195,Band_196,Band_197,Band_198,Band_199,Band_200,Band_201,Band_202,Band_203,Band_204,Band_205,Band_206,Band_207,Band_208,Band_209,Band_210,Band_211,Band_212,Band_213,Band_214,Band_215,Band_216,Band_217
temporary_grass,0.3957201,0.5509882,-0.890334,0.4797969,0.7527173,0.80814344,-0.20276465,-0.48129484,-0.625429,-0.8723578,-0.9319175,-0.75208664,-0.52403516,-0.565021,-0.5665516,-0.27215767,-0.20160249,-0.021518016,0.07974856,-0.029166235,0.0024604585,0.16221945,0.15976538,-0.15143715,-0.1866801,-0.06575789,0.28956985,0.32631817,0.3832997,0.513808,0.55104077,0.43328813,1.9142388,1.6870862,1.5835896,1.3711658,1.0701702,1.0172839,0.76683307,0.70086074,-0.1848662,-0.1839092,0.14732009,-0.07087268,-0.30348507,-0.48337424,-0.6044262,-0.7357978,-0.91813165,-1.2971554,-1.2223186,-0.7837014,-0.77968097,-1.0190985,-1.310381,-0.6985922,-1.0265648,-1.1204085,-0.48821953,-0.04124923,0.4298745,-0.6359365,0.18142201,0.12793566,0.12856951,0.12344291,-0.038707025,0.35456568,-0.12760603,0.0838173,-0.31177828,0.023843326,-0.5352727,0.3811743,-0.07165212,-0.65940064,0.5109751,-1.1851642,-1.054544,0.1288579,-0.15788579,0.76835644,-0.09123701,1.0103042,-0.12747516,1.7813218,0.49429733,-0.8439219,0.2708317,-1.4017241,-0.61350614,-0.32931462,0.67010504,-1.1438166,0.27493358,-0.63240635,0.53287536,-0.75052226,0.42860705,4.4091725,-4.0115733,-0.2416277,0.25642338,0.3144988,0.35082406,0.42248762,0.46857336,0.16901933,0.2437045,0.4460006,0.21052912,1.1901271,0.709428,1.1691135,-1.4648002,-1.2964036,0.22151563,0.5691123,0.78745675,0.5040146,0.40375027,0.3389437,0.40006623,0.9326236,0.29893458,-0.12256391,-0.26299784,-0.55443126,-0.5763786,-0.25998104,-0.5887402,-1.5065671,-0.9930012,-0.83409584,-0.5847169,-0.397085,-0.26019928,-0.072598875,0.066553056,-0.22580218,-0.032477535,0.04803183,-0.058225937,0.14376266,0.22208564,0.3024136,0.31889883,0.35200492,0.31695172,0.4205962,0.29788584,0.24894576,0.4021437,0.067860395,0.024416745,-0.34407395,-0.6227005,0.2750217,1.5408224,-0.09719147,-0.023823753,0.23875776,0.3510388,1.4169925,0.2863424,-0.092718825,-0.28640828,0.22953764,0.48594877,0.743769,0.27219585,-0.10609421,-0.12910135,0.12740894,0.06707073,0.068362154,0.114648744,0.12418177,0.09395053,0.065217845,0.05630045,-0.013695536,-0.1586392,-0.22948249,-0.17279647,-0.19157758,-0.29644442,-0.28362277,-0.01803279,0.1256046,0.26180273,0.37339863,0.4727491,0.32404962,0.29715157,0.3072292,0.35187384,0.463811,0.40158468,0.32145536,0.78962666,-0.033803076,0.20695913,0.50095016,0.41695496,-0.21177511,0.028105622,-0.08006462,-0.18619241,-0.4658222,-0.5171882,-0.21179132,-0.3494805,-0.42903897,-1.0369173,-0.22491176,-1.2882117,-0.32715905
pasture_meadow_grassland_grass,-1.3757297,-1.4764929,0.7206453,0.03495628,0.37679356,0.5422541,0.57304615,0.35347176,0.19736102,0.22216852,0.18894857,0.19260527,0.16286619,0.16870041,0.25667125,0.40704378,0.21364972,0.33825135,0.21411368,0.12729669,0.1526296,0.20970304,0.07037643,0.17720395,0.14720431,0.23573786,0.10935282,0.25076857,0.1921995,0.16376689,-0.04268121,0.024157759,-0.5542724,-0.50759286,-0.5851063,-0.54534644,-0.49500498,-0.51604515,-0.4769487,-0.43081564,0.13540588,0.18054281,-0.20373607,-0.11464151,-0.04871131,-0.059827566,0.14479072,0.12847282,0.19236761,0.73716575,0.35414836,-0.054695565,0.08478497,0.19996484,0.40787038,0.48850146,0.337547,0.7054176,0.3799823,-0.11276577,-1.0672278,0.28078014,-0.17343606,-0.49864063,-0.039678693,-0.27125794,-0.51410675,-0.4819848,0.3018237,0.31713834,0.40763474,-0.019716654,0.5968675,-0.5252258,0.19448529,0.36886773,-1.0128081,1.466941,0.43051028,-1.0610191,1.2140267,0.017976115,-0.8409329,0.53441817,-0.73914427,-1.1909709,0.758351,0.61323655,-1.4879307,-0.18608178,-0.34756172,-0.70911556,-0.042705897,-0.17243858,0.21833694,-0.27725416,-0.42859998,-0.34871712,-0.88759416,-2.3685331,1.0795625,-0.5013666,-0.71515113,-0.7242884,-0.78991854,-0.6915323,-0.4890162,0.048974685,0.12906305,0.32321697,1.1380433,2.7742577,-1.3031514,-0.67431676,0.85430133,1.284606,0.38044468,-0.34562168,-0.36301708,-0.29348198,-0.057273235,0.31688547,0.54998827,0.44019324,0.47465366,1.1571498,1.5590079,1.8201908,2.1698086,-0.2963935,-0.4988718,0.07545946,-0.080607496,-0.23155865,-0.4466299,-0.5919333,-0.74363434,-0.8135571,-0.89408386,-0.8055385,-0.9404325,-0.925654,-0.8317409,-0.9677482,-0.9006943,-0.8454672,-0.86373097,-0.88191456,-0.8475285,-0.862488,-0.66914487,-0.59548765,-0.8502111,-0.52408195,-0.5540185,-0.42913902,-0.16834812,-0.81932425,-1.3061634,0.004364104,0.34019014,0.015252374,-0.14704296,-0.9387058,-0.4646267,-0.5005272,-0.07506933,-0.30131847,-0.4626197,-0.62719625,-0.37494895,-0.123916335,0.0119085675,-0.06515968,-0.09705622,-0.03664335,-0.049468376,0.4611722,0.17361893,0.18290108,0.3396757,0.6563757,0.614875,0.6246723,0.8562392,0.72278327,0.7805982,0.5465842,0.25611553,0.06762257,-0.03402643,0.055291817,0.044022076,0.027001223,0.12515862,0.14450109,0.08262607,-0.033875015,-0.009874917,-0.073015764,2.1557335e-05,0.1504716,-0.047026712,-0.25645295,-0.16695538,0.16769834,0.16924949,0.35098746,0.34502333,0.5730071,0.61528116,0.46704945,0.5698184,0.501798,1.0606283,0.74248415,1.4980198,0.7428788
alfalfa_lucerne,-0.7855288,0.44171885,-0.28586447,-0.74800104,-0.89142126,-0.70494676,-0.23597838,0.041519742,-0.0078406995,0.14633645,0.3045969,0.41201743,0.3061821,0.39442015,0.6246108,0.5151753,0.57091737,0.36147726,0.5091063,0.57948875,0.11343767,0.15295064,-0.017159885,-0.14065062,-0.31471133,-0.6382638,-0.93166417,-1.1830643,-1.1765796,-1.3722389,-1.3064961,-1.2750179,0.30278367,0.39254487,0.44145197,0.48126101,0.34146887,0.32134187,0.27814427,0.29997957,-0.48586267,-0.39912373,0.34572238,0.25085977,0.42768347,0.5365879,0.46201047,0.672234,0.88996404,0.4420712,0.5677867,0.5365102,-0.18650413,-0.3841274,0.4240853,1.3974222,2.0779295,1.5631932,0.67344844,0.6250987,0.62417823,1.3023913,0.44400015,0.42325878,-0.0040069553,0.08102668,0.011073588,-0.21768816,0.22235316,-0.12802413,0.314764,-0.34250906,-0.06131475,-0.1649457,-0.23927383,1.1300542,-0.87781554,0.21786381,1.0290413,0.6742746,-0.47882184,-0.7800843,0.6101868,-1.9413457,0.43488243,-3.0718884,-0.41947237,-1.2389581,1.0215666,1.2866096,0.9591332,1.2791413,-1.0043669,1.2509729,-0.32719272,0.8342589,0.2980247,0.7993525,0.041047737,-1.0504146,1.5643442,0.39472932,0.44434932,0.32359603,0.2864531,0.1355901,-0.064698964,-0.648531,-0.8379923,-1.0878727,-1.411116,-3.015187,0.19893196,-0.4177335,0.91661024,0.34401786,-0.28590843,0.085762955,-0.08500609,0.07289894,-0.026663417,-0.3069742,-0.536106,-0.44088113,0.049631875,-0.6169499,-0.9297877,-1.0534588,-0.36540732,0.93004006,1.070101,1.3181629,0.5966301,0.40773943,0.17570087,0.06835136,0.16007872,0.18356615,0.07176821,0.5776202,0.5623274,0.29511905,0.5765789,0.565331,0.29213682,0.22400834,0.33315402,0.22657382,0.159025,-0.01427822,-0.015416543,-0.19106391,-0.34349218,-0.22847104,-0.16140713,0.17716497,0.006227375,-0.8404619,-1.1930691,1.9647492,1.7166834,0.80778426,0.02634921,-2.5407262,0.58428425,0.81633276,1.2760006,0.1404535,-0.43174517,-0.89308435,0.5509613,1.2261537,1.1289338,1.0378071,0.9114578,1.0800798,0.92670023,0.27867863,0.5341513,0.3495587,-0.40354002,-0.5748747,-0.4598839,-0.72392756,-1.1965835,-0.9788198,-0.92493004,-0.38058096,-0.58219,-0.5066507,-0.45612654,-0.5111065,-0.38198668,-0.38568747,-0.28495416,-0.21914592,-0.5694412,-1.0876161,-0.8515265,-0.50469387,-1.4793595,0.19848911,-0.45304286,-1.0365666,-1.0961382,0.43359962,-0.36475158,-0.4901498,-0.44420874,0.056786817,0.34292188,-0.245528,-0.31675413,-0.26267767,1.6680931,-0.60537183,2.6359158,-1.7635545
lolium_ryegrass,0.8857506,0.16770636,0.11346938,-0.026994709,-0.28128487,-0.77205414,0.055017915,0.11056101,0.7276157,0.50748515,0.33183956,-0.043085754,-0.06812044,-0.1885542,-0.5475837,-0.7660638,-0.88001215,-1.0285691,-1.0972289,-0.95221895,-0.56733495,-0.59527373,-0.24498588,0.1687446,0.3899705,0.39671084,0.5760519,0.59643614,0.5089153,0.7836498,0.94811475,1.0112513,-1.2351434,-1.0520654,-0.90690684,-0.70777166,-0.32885984,-0.1873003,-0.047934037,-0.07835517,0.9691652,0.79332066,0.17245317,0.27137536,0.33148357,0.3537085,0.25501898,0.20700742,0.14920132,0.19951986,0.475156,0.4904109,0.88122815,0.71538234,-0.4139001,-2.2005086,-1.9984443,-1.73663,-0.9264281,-0.43030572,-0.15590118,-0.7052686,-0.08082087,0.16612735,0.24326082,0.15149868,0.92161316,0.3046874,-0.3881082,-0.57341343,-0.48353425,0.5755261,-0.20680952,0.26821715,-0.20861568,-0.8402169,1.2483228,-0.57489777,-0.345374,0.011234644,-0.9878891,-0.5821938,0.67711574,0.56209475,0.29720253,1.4261541,-0.6551612,1.5508293,0.16289222,1.6202158,-0.081960075,0.7860036,0.8697558,-0.092036255,0.4763628,0.27890334,0.3219171,0.5365317,1.34384,-1.5765233,3.421173,0.7123306,0.29374692,0.32950217,0.34033394,0.17850578,0.07029302,0.21263063,0.20351978,0.052934293,-0.24402264,-1.4564294,0.29267728,-0.07880173,-0.533378,-0.52002174,-0.4057135,-0.34483165,-0.29248253,-0.24932452,-0.13797243,-0.19526955,-0.2775741,-0.8433934,-0.7387401,-0.3801898,-0.34329522,-0.28039205,-1.5082551,-1.0754008,-0.19357525,-0.16569199,-0.019867355,0.06806909,0.29163903,0.3606847,0.30387127,0.23856878,0.2575503,0.10595168,0.1617031,0.303058,0.10133353,0.022844091,0.13599548,0.039885312,0.030649433,-0.009327661,0.07669842,0.22133105,0.22790901,0.38045213,0.5867507,0.6151167,0.46581662,0.54378796,0.60156333,0.23410231,0.3868814,-0.7171938,-1.1535348,-0.65067065,-0.0009411087,1.3565702,-0.13203293,-0.25357518,-0.80788636,-0.18325664,0.20703124,0.3875878,-0.38223994,-0.7958024,-0.89250493,-0.95370775,-0.7586398,-0.9251832,-0.86444384,-0.778408,-0.7222298,-0.575034,-0.12088097,-0.0818405,0.063043535,0.25055805,0.4452955,0.40953434,0.42646086,0.19732131,0.22979923,0.20749196,0.0010674048,-0.0922955,-0.27747384,-0.101632245,-0.10256591,-0.26005894,0.123354845,0.5700691,0.4105759,0.40777484,0.5878911,0.014723024,0.35399812,0.7204826,0.7818547,0.01242718,0.3459331,0.26121157,0.47093487,0.2570729,0.19085716,0.36241877,0.3691023,0.63662034,-0.43859273,0.71375835,-1.1200346,1.6305598
