Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9
beans,-0.04110459,-0.09904382,-0.023296565,-0.14863811,-0.36067924,-0.3050632,-0.29463226,-0.3173352,-0.10897309,-0.0059579248
soy_soybeans,-0.32104862,-0.32164925,-0.26812598,-0.37042478,-0.100679696,-0.107894816,-0.08121861,-0.11747105,0.2782631,0.11238135
peas,-0.013385953,0.0040335837,0.10380576,0.15137012,0.17108296,0.2141478,0.25973672,0.25301614,-0.1818003,-0.19260155
chickpeas,0.061557442,0.12896,0.0069871065,0.19228756,0.3630879,0.29579425,0.28456196,0.32504106,0.07867023,-0.06001177
lentils,0.121407785,0.14994843,0.10148742,0.1963983,0.1026467,0.055834513,0.043568652,0.070661075,0.11505106,0.17067604
