Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22,Band_23,Band_24,Band_25,Band_26,Band_27,Band_28,Band_29,Band_30,Band_31,Band_32,Band_33,Band_34,Band_35,Band_36,Band_37,Band_38,Band_39,Band_40,Band_41,Band_42,Band_43,Band_44,Band_45,Band_46,Band_47,Band_48,Band_49,Band_50,Band_51,Band_52,Band_53,Band_54,Band_55,Band_56,Band_57,Band_58,Band_59,Band_60,Band_61,Band_62,Band_63,Band_64,Band_65,Band_66,Band_67,Band_68,Band_69,Band_70,Band_71,Band_72,Band_73,Band_74,Band_75,Band_76,Band_77,Band_78,Band_79,Band_80,Band_81,Band_82,Band_83,Band_84,Band_85,Band_86,Band_87,Band_88,Band_89,Band_90,Band_91,Band_92,Band_93,Band_94,Band_95,Band_96,Band_97,Band_98,Band_99,Band_100,Band_101,Band_102,Band_103,Band_104,Band_105,Band_106,Band_107,Band_108,Band_109,Band_110,Band_111,Band_112,Band_113,Band_114,Band_115,Band_116,Band_117,Band_118,Band_119,Band_120,Band_121,Band_122,Band_123,Band_124,Band_125,Band_126,Band_127,Band_128,Band_129,Band_130,Band_131,Band_132,Band_133,Band_134,Band_135,Band_136,Band_137,Band_138,Band_139,Band_140,Band_141,Band_142,Band_143,Band_144,Band_145,Band_146,Band_147,Band_148,Band_149,Band_150,Band_151,Band_152,Band_153,Band_154,Band_155,Band_156,Band_157,Band_158,Band_159,Band_160,Band_161,Band_162,Band_163,Band_164,Band_165,Band_166,Band_167,Band_168,Band_169,Band_170,Band_171,Band_172,Band_173,Band_174,Band_175,Band_176,Band_177,Band_178,Band_179,Band_180,Band_181,Band_182,Band_183,Band_184,Band_185,Band_186,Band_187,Band_188,Band_189,Band_190,Band_191,Band_192,Band_193,Band_194,Band_195,Band_196,Band_197,Band_198,Band_199,Band_200,Band_201,Band_202,Band_203,Band_204,Band_205,Band_206,Band_207,Band_208,Band_209,Band_210,Band_211,Band_212,Band_213,Band_214,Band_215,Band_216,Band_217
potatoes,0.0724104,0.07250663,0.058165673,0.05320059,0.057873465,0.044241395,0.038652375,0.044007797,0.03630103,0.03650771,0.035562094,0.04493091,0.036414944,0.03469466,0.027496863,0.024323903,0.022635795,0.012168162,0.0031219593,-0.0102344975,-0.018712075,-0.034965493,-0.03388988,-0.028632313,-0.020789135,-0.018323082,-0.01275666,-0.010480043,-0.0077845557,-0.013058457,-0.014319073,-0.02022914,-0.03033017,-0.03393443,-0.036904458,-0.04131986,-0.039209574,-0.043493785,-0.04276006,-0.046176817,-0.04047822,-0.04350427,-0.04913131,-0.049487818,-0.046237305,-0.044885237,-0.044566657,-0.038270727,-0.034966808,-0.033939455,-0.03694863,-0.062312167,-0.07304056,-0.07002746,-0.038536813,-0.00071357784,0.01618418,0.01810517,0.015486862,0.015411267,0.031115117,0.0037978275,0.0017353485,0.0071529625,0.00722981,0.0051076445,0.004033792,0.011403505,-0.0015614101,-0.009686799,-0.00917003,0.0019268341,-0.0017555176,-0.007953604,-0.01162989,-0.010814271,-0.007845831,-0.008642545,-0.012909902,-0.05243735,-0.017463174,0.011107703,-0.068830594,0.0033286165,-0.059900742,0.01999259,-0.082514465,0.010561771,-0.023930328,0.012076214,-0.010486758,0.018895317,0.01779904,0.0057698595,0.008629435,-0.0010988733,0.006968719,0.00128331,0.00888391,0.077700496,-0.07026347,-0.014464732,-0.02155301,-0.029309308,-0.040411126,-0.048568662,-0.050080836,-0.05468301,-0.056676794,-0.05528966,-0.06374789,-0.08768203,0.0067116423,-0.0141106155,0.05675211,0.057961255,0.040395353,0.04899211,0.049769934,0.060814973,0.05885928,0.047798403,0.036890004,0.031406656,0.049685325,0.037020437,0.028198134,0.021069972,0.016367288,-0.07219889,-0.035335213,-0.036482256,-0.025425352,-0.017566381,-0.011315142,-0.0012578559,0.004787332,0.010930761,0.014835372,0.025337819,0.024973424,0.026619203,0.03412929,0.036301184,0.03490848,0.03988182,0.038067527,0.040186405,0.041074578,0.03940829,0.041342873,0.038687404,0.042550385,0.04022909,0.034573186,0.023623236,0.020198327,0.08587808,0.0057531865,0.0032422494,-0.06627198,-0.0804058,-0.08587262,-0.09149372,-0.024283506,-0.028104844,-0.046663623,-0.057531383,-0.059806194,-0.056279946,-0.045781422,-0.03803718,-0.03594058,-0.034570742,-0.034155127,-0.030705862,-0.028518744,-0.024598558,-0.02133433,-0.020865003,-0.021403758,-0.020442422,-0.019741928,-0.020459969,-0.019981507,-0.019704396,-0.020754257,-0.021139726,-0.020523734,-0.020649573,-0.01856614,-0.019869475,-0.017265137,-0.016543759,-0.016586982,-0.0154001545,-0.017213827,-0.020020975,-0.016949886,-0.013848636,-0.022881817,-0.018121425,-0.026971497,-0.029175699,-0.029545821,-0.029099716,-0.04087252,-0.046237256,-0.053705126,-0.057768587,-0.057611194,-0.06534299,-0.07069719,-0.075629525,-0.07145276,-0.08600082,-0.07091056,-0.10257052
beetroot_beets,0.047831412,0.043745615,0.0321593,0.040323894,0.033429794,0.022187166,0.024811223,0.021728355,0.022852931,0.02372219,0.022230616,0.022655925,0.019019868,0.019442212,0.015354926,0.015819764,0.015751116,0.01810175,0.02383685,0.027642824,0.030746764,0.03737925,0.03821297,0.04216947,0.0389439,0.0405836,0.037216756,0.039597213,0.03954346,0.034508105,0.03290182,0.026534602,0.042259928,0.038057685,0.032182507,0.030208169,0.028211087,0.024061542,0.022276402,0.020007946,0.011228794,0.008912105,0.015214706,0.013133678,0.011576994,0.0063690864,0.0024466766,-0.0032597973,-0.005364502,-0.008322024,-0.0029239834,0.011024409,0.015466417,0.011897791,0.002941869,0.022211716,0.03196563,0.040505927,0.04088972,0.038988322,0.03551146,0.051402,0.048501592,0.04611267,0.04463379,0.047223523,0.045012437,0.042425763,0.047117464,0.047442418,0.042631716,0.04222141,0.045667723,0.04192798,0.040141087,0.04373809,0.038839623,0.04224424,0.039754376,0.02715092,0.03713332,0.031315003,0.035396036,0.030562263,0.020455828,0.007650058,0.03651316,0.01148823,0.026838139,0.009114279,0.025208283,0.0016002462,0.012830076,0.0038974045,0.0005728561,-0.010720397,-0.004880416,-0.007880067,-0.002360567,-0.008702968,-0.0007920027,-0.00071808207,0.0037872596,0.009646738,0.013608456,0.017966343,0.023160547,0.023217458,0.023139006,0.019032443,0.0149639165,0.037435893,0.052963298,0.005353192,0.0033962415,-0.04599248,-0.06753238,-0.07221033,-0.07388187,-0.07530239,-0.07551385,-0.06925987,-0.067800224,-0.06283968,-0.060558543,-0.06510101,-0.0752474,-0.086215615,-0.092895724,0.04128707,0.03289304,0.006902247,-0.020200673,-0.033108477,-0.04347698,-0.052410983,-0.058468606,-0.065524586,-0.06964514,-0.07423776,-0.07529078,-0.079672255,-0.08208166,-0.08335348,-0.08427999,-0.08607402,-0.08801671,-0.08653602,-0.0868628,-0.08573786,-0.08546923,-0.08288857,-0.08613104,-0.085286796,-0.07752243,-0.07519154,-0.07568393,0.017724749,0.054121785,0.05709573,0.04437336,0.038408887,0.033791285,0.029377153,0.037514765,0.030627046,0.019194433,0.011201015,0.006918284,0.0008387672,-0.0006188972,-0.0055260346,-0.011908559,-0.015338594,-0.019214721,-0.023345768,-0.025700258,-0.027500695,-0.030469948,-0.034129724,-0.035943057,-0.036941864,-0.039708912,-0.040567935,-0.041369822,-0.045846857,-0.04703618,-0.04996907,-0.04561921,-0.043065146,-0.043379378,-0.043113858,-0.043071054,-0.044768877,-0.04345252,-0.042981967,-0.040451318,-0.03975291,-0.03730012,-0.038147934,-0.03984388,-0.03572074,-0.035449658,-0.034156084,-0.03348708,-0.027224163,-0.02909078,-0.025459943,-0.022065418,-0.019677777,-0.018793447,-0.018757118,-0.013239873,-0.013481576,-0.007663951,-0.017642094,-0.008333054,-0.013946994
carrots_daucus,-0.1582612,-0.15297116,-0.14588663,-0.13062915,-0.12980747,-0.12844959,-0.12318764,-0.1211452,-0.11322092,-0.11282584,-0.1138564,-0.11517991,-0.107080616,-0.10229695,-0.09861126,-0.090041205,-0.08239209,-0.07548784,-0.06626134,-0.060621154,-0.05631719,-0.05021813,-0.04852319,-0.047825206,-0.051403273,-0.048098758,-0.04279921,-0.035545416,-0.028742213,-0.014972932,-0.00030729728,0.01521321,0.0711233,0.07299832,0.08021393,0.08427868,0.08065481,0.08189269,0.08333145,0.08555371,0.06815854,0.07228683,0.086559646,0.08305137,0.0837672,0.08234761,0.080736294,0.072465226,0.07105886,0.06863305,0.076119326,0.086417876,0.07558876,0.050751314,0.00716731,-0.034298785,-0.06726554,-0.06362592,-0.059515394,-0.05431079,-0.06576197,-0.010619062,-0.0320344,-0.035269927,-0.03599762,-0.0367327,-0.034661412,-0.043680698,-0.020123089,-0.013993493,-0.01927955,-0.028924309,-0.016629346,-0.019227449,-0.016430387,-0.009545648,-0.027485272,0.0029260654,-0.013686907,-0.016525783,0.0008612327,-0.034512468,0.0031513998,-0.030932121,-0.022843115,-0.06598791,-0.009728959,-0.0028200094,-0.024723506,0.003324997,-0.05406182,-0.0359123,-0.052635428,-0.05270444,-0.009530445,-0.026406888,-0.01581988,-0.02402935,-0.013123012,-0.07456564,0.056748364,0.0017511357,0.0057437574,0.011093541,0.0134002855,0.01807152,0.020108057,0.022666017,0.020851688,0.018559976,0.008345174,0.009122067,-0.010398503,0.012887809,-0.06898322,-0.03888925,0.019885581,0.044176716,0.05514615,0.047979057,0.05099634,0.056714278,0.05941627,0.06924637,0.060859136,0.056244694,0.04792159,0.041833494,0.057616204,0.050010953,0.018876275,0.016758606,0.0312772,0.03883486,0.043779198,0.045059036,0.046256967,0.046817735,0.04779718,0.043352902,0.046608258,0.04624936,0.042475585,0.043209396,0.04589871,0.044076074,0.042143416,0.041354913,0.039944272,0.039800808,0.038302638,0.038300782,0.037404038,0.037823416,0.03501,0.03946427,0.035764225,-0.18170793,-0.15719546,-0.12643042,-0.0142537495,0.005063351,0.01256551,0.0046477676,-0.028395578,-0.02172338,0.005138498,0.0216974,0.026332824,0.02523204,0.031347163,0.027037423,0.028636532,0.030308496,0.033433553,0.034875996,0.03541822,0.031990428,0.033625714,0.03349389,0.029621212,0.0287073,0.028093569,0.025415078,0.021572523,0.019954408,0.018515315,0.019276036,0.024563985,0.028999995,0.032779302,0.033251647,0.035011683,0.034615397,0.032278355,0.033096932,0.032846436,0.032807343,0.03254557,0.031118631,0.02496858,0.017267056,0.017482525,0.012875059,0.0055917045,0.0071438914,0.0112595,0.009419259,0.0053253295,-0.00412644,0.0046296064,0.0070351153,-0.006745012,-0.016169695,0.0009238948,0.0053805867,0.0069006765,-0.0063345376
turnips,0.006710157,0.009602382,0.020891909,0.009639422,0.011437835,0.024515502,0.031176977,0.0346044,0.034589842,0.033351105,0.036040295,0.032809053,0.03393222,0.032104075,0.041737977,0.03177768,0.028756818,0.030759975,0.027031485,0.02834647,0.034126904,0.033091582,0.026946714,0.022851478,0.023800341,0.015177231,0.010482224,-0.0004948249,-0.005224094,-0.012912572,-0.020282803,-0.023927752,-0.070273854,-0.06776724,-0.06596446,-0.06545711,-0.061447002,-0.056504738,-0.055292577,-0.05390951,-0.037545707,-0.037695967,-0.048992954,-0.046603195,-0.04964342,-0.04746528,-0.045784377,-0.041562483,-0.04090447,-0.03847363,-0.04131357,-0.037841015,-0.016060498,0.019141091,0.039034594,0.011067615,-0.0012497166,-0.021948632,-0.030797543,-0.037978444,-0.034926537,-0.08745392,-0.051388893,-0.049335558,-0.048401553,-0.044739634,-0.04047057,-0.032741886,-0.049478263,-0.04510718,-0.043146573,-0.035214454,-0.048744496,-0.042672176,-0.046409216,-0.047693394,-0.03363366,-0.050647024,-0.036901753,0.010294527,-0.036727242,-0.009067901,-0.011252195,-0.021091659,0.021395177,0.010950817,0.004064032,-0.03770631,-0.005592768,-0.022879167,0.0001723151,0.008842725,0.0022344019,0.012345535,-0.008402618,0.02780524,0.0009363937,0.019298483,-0.009501358,0.027359648,-0.029670719,0.0039209113,0.0006329501,-0.0053475243,-0.006042199,-0.0062834006,-0.014355145,-0.0148121985,-0.0066316267,0.0024605566,0.021296619,-0.0125298165,-0.11857414,-0.017938366,-0.04073434,0.016415931,0.024711955,0.015976336,0.003754526,-0.0039995546,0.0011689453,0.004040229,0.016015109,0.014712957,0.009617341,0.02092045,0.044414684,0.0636635,0.07016446,-0.04579449,-0.033285607,0.020709034,0.043852452,0.052397124,0.05720423,0.05989735,0.061194878,0.062416732,0.06168726,0.061484106,0.057389412,0.059200715,0.061010934,0.061741482,0.059721444,0.06047496,0.062706664,0.056534927,0.05122867,0.048397228,0.036179207,0.025889847,0.016791401,0.0060260827,0.012809872,0.01930263,0.018761897,0.032314204,0.055672776,0.07691381,0.053436197,0.05535247,0.05709679,0.07324954,0.06972016,0.06729942,0.0536372,0.052033134,0.05046084,0.053390697,0.03934085,0.037116505,0.034951303,0.034100898,0.03017606,0.026753606,0.02384004,0.0212669,0.01687314,0.016471071,0.019166486,0.020442579,0.019945635,0.023325041,0.026257984,0.030577106,0.03307869,0.03511894,0.025473231,0.017302565,0.011592349,0.006427071,-0.0029725977,-0.006462734,-0.010277768,-0.014515342,-0.016440103,-0.017372074,-0.022899572,-0.022859396,-0.015154289,-0.009194154,0.00044873613,0.0041054464,0.006455003,0.0035718256,0.0139491,0.016175356,0.02011367,0.025519611,0.024513496,0.027405785,0.029377628,0.030122774,0.023207203,0.03555763,0.018644458,0.031821728
