Band_Index,Gini_Importance
0,0.013691881
1,0.009474818
2,0.005737715
3,0.0069845226
4,0.008889947
5,0.006345603
6,0.004966585
7,0.006601145
8,0.0042765313
9,0.0038997794
10,0.0037529583
11,0.0048332415
12,0.0027539823
13,0.0024828599
14,0.0035859237
15,0.0041372133
16,0.0031653924
17,0.0033791687
18,0.0024360921
19,0.0026094608
20,0.0026116222
21,0.004600421
22,0.0021695178
23,0.00427185
24,0.004163116
25,0.0049499874
26,0.0036341406
27,0.0030990576
28,0.0033504372
29,0.0034287598
30,0.0033280638
31,0.0026382958
32,0.0027656106
33,0.002942766
34,0.003896417
35,0.0029819892
36,0.0030673933
37,0.0027701778
38,0.0036662016
39,0.0034801224
40,0.0037745237
41,0.0028573896
42,0.0031699992
43,0.003707938
44,0.0036164443
45,0.0040146173
46,0.004647169
47,0.003343771
48,0.0038870864
49,0.005827205
50,0.004200913
51,0.005198737
52,0.005914843
53,0.007758994
54,0.008571088
55,0.016105775
56,0.014372459
57,0.0072542345
58,0.0042907437
59,0.007818067
60,0.0052894745
61,0.007946578
62,0.008042742
63,0.007327035
64,0.007122329
65,0.0043431325
66,0.010733311
67,0.0031509143
68,0.008716344
69,0.012168414
70,0.0078258505
71,0.0035061298
72,0.001654133
73,0.004033139
74,0.0024903032
75,0.0062792306
76,0.0022169224
77,0.0026199068
78,0.0063552926
79,0.004379634
80,0.011441006
81,0.0067235585
82,0.0023564952
83,0.002882707
84,0.004094773
85,0.0077084573
86,0.004907871
87,0.0056671314
88,0.004114472
89,0.0048301485
90,0.001818228
91,0.0046943096
92,0.004862985
93,0.0025192644
94,0.0042849625
95,0.0018295716
96,0.0041819294
97,0.004117352
98,0.0053795497
99,0.0069120517
100,0.0038610008
101,0.0015568171
102,0.0018342201
103,0.002128165
104,0.001806398
105,0.0024500622
106,0.0030426802
107,0.002162717
108,0.0024745825
109,0.0025082843
110,0.0047000544
111,0.007411364
112,0.007901911
113,0.0043135434
114,0.005018786
115,0.0037131712
116,0.0038060718
117,0.0035354127
118,0.0051328987
119,0.005203882
120,0.006419034
121,0.0044762674
122,0.009653415
123,0.0053794696
124,0.0056840507
125,0.006101944
126,0.00573877
127,0.006887329
128,0.0057330285
129,0.005429727
130,0.0075326473
131,0.004029239
132,0.0020518934
133,0.0019406623
134,0.0021991222
135,0.0026263392
136,0.0015370116
137,0.003536967
138,0.0025550176
139,0.002297634
140,0.0030230512
141,0.0054860613
142,0.0060097664
143,0.005529064
144,0.007005783
145,0.007969262
146,0.005463077
147,0.00873155
148,0.0061833346
149,0.006919426
150,0.005712247
151,0.0058283717
152,0.008746268
153,0.0039941967
154,0.004522923
155,0.003702474
156,0.0038950217
157,0.033560563
158,0.022944761
159,0.015167692
160,0.0043955585
161,0.005355421
162,0.0038359284
163,0.0061716125
164,0.003954945
165,0.0035567752
166,0.003349434
167,0.0025035709
168,0.002380458
169,0.0014751626
170,0.0018126278
171,0.0017044509
172,0.001825213
173,0.002923784
174,0.0022116592
175,0.0024223807
176,0.001923951
177,0.0022000792
178,0.0015004638
179,0.0015494764
180,0.0013062651
181,0.0017029328
182,0.0013928884
183,0.0011172177
184,0.0010922423
185,0.0020526282
186,0.0012384743
187,0.0017135938
188,0.0017344592
189,0.0017653372
190,0.0019832447
191,0.0019311525
192,0.0022125405
193,0.001706114
194,0.0021521677
195,0.0018152115
196,0.0024277093
197,0.002387064
198,0.0027985536
199,0.0025007676
200,0.0033503494
201,0.003025655
202,0.0028257077
203,0.0030061451
204,0.0032334344
205,0.0030372157
206,0.0026416576
207,0.0024619647
208,0.002893737
209,0.003297332
210,0.003380108
211,0.0032877834
212,0.0035066034
213,0.004183177
214,0.0044467375
215,0.0046059582
216,0.005736014
217,0.006549812
