Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9
potatoes,-0.23469554,-0.63362134,-0.33200687,-1.1840764,-0.18742307,0.015128585,0.016840002,-0.15868868,-0.036977384,0.2846225
beetroot_beets,0.08865902,0.15231654,-0.40347576,-0.147562,0.33476046,0.25778085,0.1897232,0.047772292,-1.1937169,-0.5281439
carrots_daucus,-0.8412211,-0.17535006,0.33624455,0.9082849,-0.29728058,-0.4531802,-0.4289676,-0.079147175,1.2734833,-0.023407808
turnips,0.95150304,0.3947372,0.1802827,0.16154009,-0.3172142,-0.25265253,-0.30271435,-0.15618312,0.13377409,0.14043088
