Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9
beans,0.00063246815,-0.36028266,0.15386319,-0.5557849,-1.1849034,-0.7208532,-0.68764424,-0.8048738,-0.39103782,0.053041477
soy_soybeans,-0.692546,-0.63859963,-0.6920456,-1.2638214,-0.103884496,-0.2542364,-0.13496,-0.35178214,1.5214652,0.8720375
peas,-0.107025936,-0.35504323,0.883842,0.87677157,-0.0795247,0.36837697,0.7535135,0.7349858,-1.0251557,-0.8903877
chickpeas,0.21600147,0.2596087,-0.17012978,0.554217,0.82557905,0.5606401,0.5606817,0.7639593,0.35816357,-0.32122436
lentils,0.14794558,0.19069216,-0.24803582,0.47383696,0.4278363,0.2510819,0.14488326,0.3364549,-0.0033276996,0.6586529
