Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9
temporary_grass,0.52574617,1.2142004,-3.733043,-1.54316,-1.5949064,-1.1914206,0.76887804,2.944693,2.8312411,0.56576484
pasture_meadow_grassland_grass,1.789357,1.1964788,-0.55443805,-0.57263887,0.549704,-0.50713664,-0.62759364,-2.6266584,-1.228123,-1.8330722
alfalfa_lucerne,1.2071499,-1.2246014,2.149326,1.832149,3.82928,1.446917,-1.3116248,-0.715781,-2.1259263,0.43138742
lolium_ryegrass,-2.458765,-1.1940718,2.3167217,0.04331427,-4.012186,0.8426428,0.53778225,1.8789846,-1.3175166,1.8918922
