Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9
temporary_grass,-0.19570597,-0.14250207,-0.22702509,-0.08040717,0.12635195,0.14735441,0.23499289,0.22046863,0.10790652,-0.022129036
pasture_meadow_grassland_grass,0.06528431,0.009636789,-0.018700711,-0.13218018,-0.34641376,-0.3501665,-0.34220403,-0.3951754,-0.18947878,-0.11595922
alfalfa_lucerne,0.20331849,0.18820237,0.15113617,0.1910492,0.34296703,0.2995527,0.24708356,0.28161985,0.11532138,0.108227044
lolium_ryegrass,-0.26255777,-0.26289958,-0.11288319,-0.13069785,-0.2841452,-0.20086603,-0.1779392,-0.16913135,-0.058277447,-0.031004695
