Band_Index,Gini_Importance
0,0.04516659
1,0.028000707
2,0.003714841
3,0.0058060717
4,0.0033031146
5,0.0032356828
6,0.003219833
7,0.0016848985
8,0.0013659049
9,0.0011635239
10,0.0036879105
11,0.0005942382
12,0.00075594086
13,0.0015595115
14,0.0005281899
15,0.0015491911
16,0.0005119401
17,0.00089456764
18,0.00063202117
19,0.0012673852
20,0.00090364635
21,0.0018949014
22,0.0006506627
23,0.0006971629
24,0.0009214846
25,0.0013512846
26,0.00092466123
27,0.0009896242
28,0.0012413936
29,0.0006232472
30,0.0009997285
31,0.0013757641
32,0.015401818
33,0.0010553403
34,0.001151597
35,0.0016699758
36,0.00067109545
37,0.00072984357
38,0.00055819517
39,0.0005579577
40,0.0011662903
41,0.00053631776
42,0.00046640317
43,0.000470523
44,0.00023367837
45,0.0020253137
46,0.0006631257
47,0.0007858383
48,0.0028988014
49,0.009371601
50,0.0049125296
51,0.003675998
52,0.007920925
53,0.007845968
54,0.015961187
55,0.014243045
56,0.008271748
57,0.00922022
58,0.0028088812
59,0.0049542743
60,0.01751983
61,0.03189955
62,0.0097452225
63,0.00058354106
64,0.0007418152
65,0.0014019568
66,0.0014158603
67,0.001173899
68,0.001684106
69,0.001263112
70,0.0008257414
71,0.000791746
72,0.0004933206
73,0.002258547
74,0.0006931127
75,0.00066471513
76,0.0009876443
77,0.0005591221
78,0.0009336127
79,0.0016003416
80,0.0008646198
81,0.001141903
82,0.0008944602
83,0.0015223626
84,0.0022048326
85,0.02993909
86,0.0026136274
87,0.007232785
88,0.0019690692
89,0.0032499435
90,0.0008551797
91,0.0018145114
92,0.0035569386
93,0.0016910799
94,0.0046512787
95,0.0016991739
96,0.0040167584
97,0.0005377913
98,0.0059545618
99,0.035762608
100,0.048529267
101,0.0054731215
102,0.00092442887
103,0.00046999234
104,0.00043122156
105,0.0006081193
106,0.0009817445
107,0.00051641813
108,0.00075388775
109,0.0025363723
110,0.0016899301
111,0.016899606
112,0.0068550743
113,0.003148763
114,0.0053760186
115,0.0031616548
116,0.0011664081
117,0.0008262811
118,0.00059688155
119,0.00063918234
120,0.0007611547
121,0.0010794243
122,0.00036014678
123,0.0020188948
124,0.001649873
125,0.0017640374
126,0.0013043238
127,0.008158641
128,0.14148064
129,0.0007501828
130,0.0019462584
131,0.004994064
132,0.00039507478
133,0.00034746606
134,0.0003118412
135,0.0005628707
136,0.00066524686
137,0.0010851896
138,0.0010460054
139,0.00084921496
140,0.00047773213
141,0.0005199785
142,0.00045343087
143,0.0004038462
144,0.00082265784
145,0.005409609
146,0.0020318574
147,0.0023216244
148,0.0013405476
149,0.0010097858
150,0.0012426866
151,0.00073825556
152,0.000607081
153,0.0005892038
154,0.0010556476
155,0.00096954545
156,0.0020585756
157,0.08976432
158,0.087340996
159,0.008819519
160,0.003382218
161,0.0005241231
162,0.0007093066
163,0.0013423213
164,0.0016716217
165,0.005187356
166,0.0010857376
167,0.00044484585
168,0.00019584513
169,0.00037765907
170,0.0003096059
171,0.00019814572
172,6.678054e-05
173,0.0006747245
174,0.000121736106
175,0.00027305927
176,0.00014537235
177,8.151833e-05
178,9.806954e-05
179,6.482758e-05
180,9.343202e-05
181,0.00021611208
182,0.0006870727
183,8.189121e-05
184,0.00013051639
185,0.00077480776
186,0.00027698276
187,0.0003285536
188,0.00033176193
189,0.00043254375
190,0.0003390254
191,0.0005611025
192,0.00041431887
193,0.00024047725
194,0.000105613006
195,0.0024049673
196,0.00064955006
197,0.00033904857
198,0.00040218644
199,0.0005740233
200,0.0008055854
201,0.0015569063
202,0.00078824244
203,0.0008281267
204,0.000575919
205,0.00065243326
206,0.0005329186
207,0.0008233915
208,0.0005011051
209,0.000970202
210,0.000804915
211,0.0011776186
212,0.0013880575
213,0.002805537
214,0.0032170995
215,0.003433528
216,0.011198448
217,0.029655974
