Band_Index,Gini_Importance
0,0.009418628770901074
1,0.009929602480623734
2,0.014365367493420926
3,0.0007120085394137371
4,0.0020298740260272794
5,0.0018407303760945672
6,0.006276324491616716
7,0.002920184291096483
8,0.009470877480694754
9,0.0025583894169279977
10,0.0005235663346565346
11,0.0028968112640207536
12,0.0006492652255552704
13,0.0010854945665485312
14,0.0
15,0.0
16,0.002578245357724467
17,0.00012021960434075915
18,0.0007165847256892915
19,0.0019907769340714787
20,0.0003010588400465173
21,0.013211044906498565
22,0.0
23,0.0005131882480818641
24,0.0009350724795544691
25,0.011097622238747475
26,1.4911233549164039e-05
27,0.0019842175427612413
28,0.002201780465227506
29,0.0008698868691209161
30,4.789513324842496e-05
31,0.0007458322353979304
32,0.0020356201202946594
33,0.0
34,0.0008821104287464683
35,0.0015337136839427279
36,0.0004360287329797286
37,0.0010633615210260705
38,0.0010324258251671915
39,0.0036148694709247846
40,6.609905021047349e-05
41,0.0
42,9.340839463953756e-05
43,0.0002864292175787186
44,0.0
45,0.0
46,6.0328602963518865e-05
47,0.0
48,0.0021398510595227187
49,0.004533018879278073
50,0.0033816508119148573
51,0.0008167486194934312
52,0.007023965669329265
53,0.0019215788318806524
54,0.0005332284297369034
55,0.011783486592919827
56,0.01239667212333727
57,0.05121854947988721
58,0.0019442983620804718
59,0.005842199121125974
60,0.002844409283343531
61,0.009421439650123613
62,0.008584177911951164
63,0.0005386068755725554
64,0.0007852144954216548
65,0.0015058542984773167
66,0.002541645979377369
67,0.005153665405356566
68,0.0005449061262411401
69,0.0013934471893100962
70,4.569810878748751e-05
71,0.002573438168879034
72,0.00024193116416905349
73,0.0006661132522343892
74,0.0007854362447849478
75,0.006000042857732972
76,0.0008077814846252889
77,0.024004377589059017
78,0.007493020854320454
79,0.0005334197058760555
80,0.0010946925981002737
81,0.0019734899688499227
82,0.0022610157155018035
83,0.00595716263857754
84,8.349353710796659e-05
85,0.02471960027539149
86,0.0038216987111934185
87,0.026744074206314042
88,0.0057331978351678
89,0.010087666996264334
90,0.003189357983676498
91,0.0015341246132905934
92,0.013708231372093331
93,0.0018073302981933565
94,0.00531150682310376
95,0.0011548979414328607
96,0.002408899436717541
97,0.00019328481013539692
98,0.006402642438743795
99,0.04256623332799267
100,0.01756855113430449
101,0.004799729050094574
102,0.0010104306162148817
103,0.0004742026878211107
104,0.0001261890958563584
105,0.002407312887906098
106,0.0
107,0.0011636888996531469
108,1.3927042678091818e-05
109,0.00017993630335073346
110,0.00282378759333144
111,0.03728306759475647
112,0.12744510461183506
113,0.005907102378807502
114,0.011698204595403093
115,0.00036349677394249163
116,0.0006628351267617717
117,0.0020789052409603305
118,0.0006881363808669336
119,0.00015362904326722757
120,0.01963182980567621
121,0.0004889908230624277
122,0.008280083396266272
123,0.010125050459023411
124,0.004382334755874651
125,0.0003985973027843708
126,0.002964372101142954
127,0.003492884206758771
128,0.010834123774479839
129,0.00217661525647004
130,0.00107842937253496
131,0.003373830729645738
132,0.00010933447392618681
133,1.3680631307178476e-05
134,0.00032682308159623016
135,0.00020394664210240116
136,0.0029792121962482596
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0006551526942513885
142,0.0
143,0.00018566503975901336
144,0.0004809835801106146
145,0.0012172568083728466
146,0.00013258464457422466
147,0.0010941711562903356
148,0.000318815799297394
149,0.0018698813574173018
150,0.0037890194128609497
151,0.0
152,0.0005722338860822522
153,0.002961404696771855
154,0.0
155,0.0
156,0.0
157,0.09315788506205823
158,0.010107469407158816
159,0.03561852362715663
160,0.0006219561632745419
161,0.011547052474837532
162,0.0
163,0.004311633800895027
164,0.0006935189761384929
165,0.0012127770104151
166,0.0011354133351071018
167,0.0006424523776778897
168,0.0
169,0.0003598726067014669
170,9.147040281651387e-05
171,0.001437043194148937
172,0.0
173,0.0
174,0.0
175,0.00031969475265196346
176,0.00021593513725795064
177,0.00047938633534800554
178,0.0009011095826532764
179,0.0
180,0.00019246583168567734
181,0.0010976448337981662
182,0.0
183,0.00010135187698939281
184,0.0005182165536501125
185,0.0
186,0.02152271720677943
187,0.0014754267861172164
188,0.0006333757877945819
189,0.0
190,0.00018844238314549543
191,0.0
192,0.00047945760333828973
193,6.81515085596951e-05
194,0.0
195,0.0
196,0.0
197,0.00035716679762852363
198,0.006326053531882297
199,0.0
200,0.004193604724128191
201,0.0
202,0.000709463138925749
203,0.0
204,0.0
205,0.0021153137501618907
206,4.457253960552996e-05
207,0.0017874036924626338
208,6.937087036500196e-05
209,0.0010607458251443449
210,0.0
211,0.0006170655951435181
212,0.0007053450631785094
213,9.087692088420867e-06
214,0.003546504960720644
215,0.003107011918926822
216,0.03105937623270049
217,0.00031359113215097457
