Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22,Band_23,Band_24,Band_25,Band_26,Band_27,Band_28,Band_29,Band_30,Band_31,Band_32,Band_33,Band_34,Band_35,Band_36,Band_37,Band_38,Band_39,Band_40,Band_41,Band_42,Band_43,Band_44,Band_45,Band_46,Band_47,Band_48,Band_49,Band_50,Band_51,Band_52,Band_53,Band_54,Band_55,Band_56,Band_57,Band_58,Band_59,Band_60,Band_61,Band_62,Band_63,Band_64,Band_65,Band_66,Band_67,Band_68,Band_69,Band_70,Band_71,Band_72,Band_73,Band_74,Band_75,Band_76,Band_77,Band_78,Band_79,Band_80,Band_81,Band_82,Band_83,Band_84,Band_85,Band_86,Band_87,Band_88,Band_89,Band_90,Band_91,Band_92,Band_93,Band_94,Band_95,Band_96,Band_97,Band_98,Band_99,Band_100,Band_101,Band_102,Band_103,Band_104,Band_105,Band_106,Band_107,Band_108,Band_109,Band_110,Band_111,Band_112,Band_113,Band_114,Band_115,Band_116,Band_117,Band_118,Band_119,Band_120,Band_121,Band_122,Band_123,Band_124,Band_125,Band_126,Band_127,Band_128,Band_129,Band_130,Band_131,Band_132,Band_133,Band_134,Band_135,Band_136,Band_137,Band_138,Band_139,Band_140,Band_141,Band_142,Band_143,Band_144,Band_145,Band_146,Band_147,Band_148,Band_149,Band_150,Band_151,Band_152,Band_153,Band_154,Band_155,Band_156,Band_157,Band_158,Band_159,Band_160,Band_161,Band_162,Band_163,Band_164,Band_165,Band_166,Band_167,Band_168,Band_169,Band_170,Band_171,Band_172,Band_173,Band_174,Band_175,Band_176,Band_177,Band_178,Band_179,Band_180,Band_181,Band_182,Band_183,Band_184,Band_185,Band_186,Band_187,Band_188,Band_189,Band_190,Band_191,Band_192,Band_193,Band_194,Band_195,Band_196,Band_197,Band_198,Band_199,Band_200,Band_201,Band_202,Band_203,Band_204,Band_205,Band_206,Band_207,Band_208,Band_209,Band_210,Band_211,Band_212,Band_213,Band_214,Band_215,Band_216,Band_217
beans,0.5037309,0.43597627,0.42362437,0.3452711,0.30541173,0.3046131,0.28212246,0.24748188,0.21617289,0.19942015,0.20028807,0.1678592,0.14767306,0.114118636,0.10427533,0.08798956,0.058331177,0.06309349,0.033843827,0.0290053,0.03434183,0.010502648,-0.018138302,-0.04172048,-0.037632983,-0.03288082,-0.03488618,-0.03384335,-0.01907305,-0.0005226079,0.0037972562,0.020928651,-0.15644462,-0.12891427,-0.09920563,-0.08725934,-0.07923486,-0.07878628,-0.06313111,-0.051693164,0.027595969,0.020217052,-0.050572798,-0.056969743,-0.04604366,-0.049175788,-0.03350672,-0.036731437,-0.02635361,-0.014862131,-0.021001637,-0.040445372,-0.12129692,-0.22941221,-0.32454324,-0.36092824,-0.26446807,-0.14333567,-0.08008549,-0.03228277,-0.03440676,-0.044902645,-0.028557584,-0.028643759,-0.036314264,-0.022925416,-0.041463114,-0.07490183,-0.080037765,-0.06744821,-0.049768016,-0.06198004,-0.07023503,-0.09139485,-0.111313604,-0.08091262,-0.10587736,-0.06850144,-0.02531018,-0.15910342,-0.011373381,0.007517093,-0.15667778,0.030696554,-0.110063076,-0.13884951,0.017061817,-0.19009697,-0.09057815,-0.13891052,-0.012674899,-0.08219967,-0.026939923,-0.06372898,-0.07751039,-0.11745415,-0.054438993,-0.11695476,-0.052549783,-0.003236268,-0.20184043,-0.1206051,-0.12998983,-0.1091291,-0.09087918,-0.07254122,-0.05817387,0.00035819886,0.023360422,0.046678863,0.13695018,0.33045277,0.1706909,0.10066451,0.21244131,0.13861544,0.037967037,-0.0178371,-0.016369814,0.009153992,0.0072916597,0.0010078036,0.012003064,-0.018408958,-0.03378153,0.036646765,0.072850265,0.10371712,-0.0022398962,0.05011857,0.011980388,0.011898765,-0.029846719,-0.056418855,-0.08829542,-0.10119423,-0.11417826,-0.12352604,-0.115015894,-0.12676528,-0.13148345,-0.12390795,-0.12740932,-0.13350739,-0.12387628,-0.12143183,-0.121680394,-0.10944755,-0.09898916,-0.090960614,-0.048525237,-0.019089682,-0.018707057,-0.001914363,-0.005673334,-0.016167976,0.044697575,0.0076579014,0.18494606,0.041730806,0.03130506,0.07860485,0.10526371,0.23308656,-0.005094105,-0.017893936,-0.03737901,-0.007274067,0.005370815,0.023417989,-0.05870713,-0.078836866,-0.08172177,-0.07502825,-0.07472178,-0.09319222,-0.069853105,-0.064477734,-0.07149647,-0.06815176,-0.053436026,-0.0766473,-0.09316512,-0.088067785,-0.06279545,-0.08075107,-0.09589006,-0.15916917,-0.10220421,-0.082236625,-0.069336705,-0.05068244,-0.04494392,-0.038487334,-0.023277303,-0.015175777,0.007028251,0.045674805,0.030909812,0.01172759,0.070448,0.009760864,0.035342608,0.07071606,0.09467331,0.0025033501,0.0043226816,0.017827926,0.016427055,0.030567756,-0.017510813,0.009544579,0.06374986,0.1263345,-0.046236254,0.03670277,-0.14234242,0.11378065
soy_soybeans,0.08192027,0.08637537,0.08381774,0.073918134,0.04672711,0.058717113,0.056335695,0.05156773,0.05824198,0.03248848,0.028257994,0.015210052,0.014502383,0.0147650605,0.01604894,0.01617582,0.009114377,-0.0031128898,-0.008942025,-0.024757875,-0.055391055,-0.07110007,-0.084274955,-0.08269305,-0.07775883,-0.0841191,-0.08646264,-0.09152661,-0.09531709,-0.09280597,-0.10022587,-0.11661124,-0.0042169215,-0.025439842,-0.034724534,-0.043872174,-0.05602614,-0.060194086,-0.0706261,-0.07120779,-0.12833214,-0.12970802,-0.07739461,-0.07773083,-0.057640407,-0.05130596,-0.03762925,-0.025570791,-0.015314115,-0.045428634,-0.0778162,-0.114929706,-0.19713175,-0.30288115,-0.3596334,-0.3676486,-0.29254562,-0.16741787,-0.09287772,-0.021531947,0.003369362,-0.009899286,0.030144893,0.024920898,0.031823725,0.010327399,0.026938546,0.02064729,0.047778085,0.018116001,0.020840999,0.014068661,0.031427283,0.00034651736,0.050399818,0.020748286,0.013875136,0.049006756,-0.015441667,-0.07983898,0.034922022,-0.014469512,-0.033927187,0.047655877,-0.082702,-0.0066835354,-0.05579777,0.08509043,-0.1625397,0.009903248,-0.13486576,0.0057293596,0.073001124,-0.07554975,0.12001016,-0.01481297,0.116487764,-0.026135014,0.112497635,-0.09557835,0.16754422,-0.041187357,-0.041405313,-0.056121837,-0.069391765,-0.075575866,-0.07892282,-0.1131111,-0.10683442,-0.08470391,-0.08013166,-0.084281795,-0.28157082,-0.14296818,-0.07346124,0.06774713,0.15198033,0.17755446,0.18707806,0.16614482,0.14062653,0.11750824,0.112777136,0.15841064,0.12941203,0.10722901,0.12447998,0.13929275,0.15296257,-0.23197974,-0.216606,-0.113151886,-0.01744653,0.019304574,0.059005022,0.09376739,0.12329525,0.15366101,0.18580255,0.19507466,0.21399093,0.2398294,0.23411131,0.24062681,0.26030096,0.25538075,0.2618225,0.28581294,0.27882272,0.2860825,0.26904514,0.27963138,0.29245532,0.29489788,0.25785798,0.22115827,0.19529797,-0.37574697,-0.38402095,-0.3494642,-0.2366192,-0.19071347,-0.1719139,-0.13011016,-0.14017375,-0.16008396,-0.13667358,-0.10930025,-0.079387285,-0.053931694,-0.044311017,-0.03807871,-0.016786078,0.0027957128,0.030492427,0.038855176,0.057171725,0.050307013,0.054138005,0.058381237,0.065720506,0.049810052,0.03928386,0.024437035,0.010927578,-0.0019620773,-0.02731136,-0.048533928,-0.021040363,-0.00638863,0.015750146,0.02131276,0.032580826,0.05381203,0.071924575,0.07654022,0.0882521,0.102977544,0.09422625,0.0880752,0.08710822,0.032521117,0.049923748,0.050010502,0.027177686,-0.045877967,-0.06591043,-0.10366315,-0.13156664,-0.17183128,-0.18452156,-0.1845385,-0.2215408,-0.24583043,-0.26319635,-0.2282757,-0.31818408,-0.25027066
peas,-0.10224727,-0.08412029,-0.18059835,-0.17146884,-0.22140352,-0.22525512,-0.24077044,-0.25045645,-0.23069073,-0.17624632,-0.1750286,-0.15241377,-0.12411392,-0.093093306,-0.10492601,-0.07434243,-0.049707156,-0.054880198,-0.048909526,-0.025129283,-0.010165926,0.0044719405,0.002776649,-0.018882755,-0.039428152,-0.039554145,-0.05511672,-0.05619882,-0.06304175,-0.049403176,-0.041041866,-0.02651822,0.024389079,0.021972861,0.02348789,0.007406628,0.014535809,0.024175135,0.039011512,0.04369106,0.04151829,0.06681341,0.07746461,0.08793893,0.073586516,0.08539554,0.08568396,0.079714105,0.075260244,0.08193906,0.14715895,0.23162507,0.3175157,0.3970232,0.33085597,0.20138983,-0.037311267,-0.16606516,-0.21513663,-0.2542566,-0.22673652,-0.119874,-0.19548503,-0.16370456,-0.13146383,-0.11116018,-0.10017812,-0.03416562,0.023599597,0.01588679,0.07171297,0.030849515,0.064398654,0.13133004,0.079573505,0.15655677,0.16071592,0.11269837,0.26784414,0.16922064,0.12064392,0.12848519,0.19598152,0.05059137,0.19427036,0.28552195,0.20134558,0.116593994,0.03618219,0.1114863,0.051739458,0.13954608,-0.044978302,0.037905898,-0.061430532,-0.040930126,0.008990094,-0.025008775,-0.007170107,-0.16359873,0.11797002,-0.0023237274,0.06758732,0.11778177,0.1659072,0.21006683,0.24448119,0.26283607,0.26741382,0.25700817,0.285833,0.2312527,-0.068825044,-0.13749687,-0.018270401,-0.038940772,-0.20035395,-0.26423377,-0.28860548,-0.27498445,-0.25406915,-0.22163144,-0.19851306,-0.17062597,-0.114200056,-0.115722775,-0.09261477,-0.08823221,-0.05777274,-0.015747374,0.0012525606,0.19274734,0.16509803,0.104128346,0.08173958,0.03241056,0.00069347315,-0.040287565,-0.080610126,-0.09376812,-0.09758349,-0.110609114,-0.07156238,-0.048386477,-0.052943315,-0.035828266,-0.037647977,-0.050070066,-0.052702386,-0.07600359,-0.09959718,-0.11901218,-0.14505002,-0.14108194,-0.062268842,0.0035257726,0.01762348,-0.26950586,-0.08863945,0.24132363,0.45018485,0.39499748,0.35035264,0.16135234,0.35579816,0.36511135,0.42868632,0.25924608,0.15908547,0.035315268,0.0542699,0.064241976,0.00031073485,-0.056612715,-0.09582891,-0.10691428,-0.13125378,-0.11325967,-0.11085811,-0.114359505,-0.09280473,-0.04089394,-0.0022518393,0.013733213,0.051295545,0.08952215,0.15233359,0.21561739,0.15334027,0.106613316,0.05328347,-0.0185158,-0.079222634,-0.14389424,-0.18382686,-0.19465894,-0.19221015,-0.18144503,-0.1446058,-0.1515797,-0.22324795,-0.06458705,-0.08086876,-0.09256667,-0.06598038,0.029323531,-0.019150797,-0.027399031,0.0060421857,0.07469096,0.08404384,0.07663049,0.078705244,0.048122987,0.2094216,0.033200957,0.25561845,-0.12709248
chickpeas,-0.1446507,-0.14182094,-0.040159695,-0.027720869,0.0031862054,0.028492237,0.029391287,0.051185973,0.04876935,0.059864465,0.06414499,0.09278953,0.08745339,0.073249675,0.07769489,0.05791178,0.04858639,0.044123307,0.03280232,0.0069905347,-0.0021805512,-0.0060377903,-0.01710648,-0.032130316,-0.03168019,-0.041858602,-0.04335425,-0.057946473,-0.04605019,-0.06289015,-0.061672524,-0.053243905,-0.09408158,-0.08148485,-0.07182612,-0.054526776,-0.033489015,-0.03243413,-0.022111123,-0.016727708,0.0116870245,0.0085040685,0.0007544914,0.00986411,0.015951946,0.02831914,0.026524972,0.03882172,0.044340987,0.05519108,0.054809775,0.028720757,0.05123448,0.10450696,0.13862339,0.18334632,0.20130123,0.12144901,0.07252909,0.026110616,0.02897983,0.010550822,0.019059617,-0.0040056137,-0.016316198,-0.00519426,-0.016872281,-0.016215185,-0.009511282,0.01909852,0.014811594,0.024595752,-0.006874907,0.047905333,0.025745925,0.017712425,0.032778155,-0.024388358,0.017785903,-0.06354689,0.016909411,0.06705205,-0.1467291,0.012001593,-0.06186267,0.07673011,-0.10312276,-0.008854737,0.055122063,0.1657168,0.08864411,0.22468507,0.15646006,0.0951411,0.19220605,0.103282,0.19763371,0.09741956,0.203398,0.5505808,-0.28154218,0.0773765,0.057140302,0.033456467,0.0042344183,-0.01946683,-0.041008357,-0.0530749,-0.060121913,-0.05871444,-0.07586052,-0.109995835,0.10787421,0.20247914,0.1414011,0.050804835,0.035277136,0.03829242,0.01961494,0.016245248,0.023477508,0.048068937,0.041905057,0.048003953,0.066360526,0.047006663,0.04320228,0.047367137,0.11307754,0.19986098,0.16942799,0.09664649,0.056411676,0.042918686,0.0359193,0.036490127,0.036457248,0.03639514,0.029229097,0.04233933,0.02910286,0.023213856,0.02871045,0.019936586,0.0011873828,0.005664929,0.0019367909,-0.013665654,-0.016403869,-0.009601843,-0.021010794,-0.04620839,-0.05367035,-0.06824902,-0.048420675,-0.048804775,-0.052311927,0.33767068,0.34635934,0.1060876,-0.081888236,-0.12388401,-0.1282615,-0.1455844,-0.06647901,-0.024756975,-0.026917253,-0.015815757,0.005261898,0.032082178,0.06929354,0.09082766,0.11489822,0.11933436,0.1272951,0.12632939,0.122002,0.097767234,0.10687616,0.10503791,0.075771265,0.07657633,0.07032247,0.06235404,0.02590881,0.012217972,-0.0070884204,0.006180014,-0.040174287,-0.057598375,-0.06021934,-0.045456864,-0.038176846,-0.018701626,-0.008933978,-0.023199182,-0.056403268,-0.088354446,-0.10751251,-0.112609826,-0.10962898,-0.10403592,-0.12255609,-0.14254533,-0.15005276,-0.10889251,-0.059106383,-0.037668046,-0.007086703,-0.0071536293,0.016887834,-0.015581014,-0.008936305,-0.008392063,-0.0057776384,-0.007281531,0.027360622,-0.007679516
lentils,-0.090689965,-0.078632146,-0.18868999,-0.062921196,-0.032187734,-0.14053324,-0.1215335,-0.052904397,-0.044241827,-0.047982965,-0.04001692,-0.03037525,-0.006013563,0.021160029,0.0037345598,0.033169277,0.07069761,0.068049006,0.097691655,0.11596523,0.12536198,0.13142169,0.1406734,0.14376986,0.1390829,0.10076584,0.120042875,0.100100175,0.060033295,0.018818408,0.013247374,-0.015396583,0.03917154,0.027864933,-0.0086582815,-0.031412534,-0.047684558,-0.03400067,-0.045078803,-0.04903951,-0.0564299,-0.05207642,-0.055448197,-0.04903361,-0.10685181,-0.116874225,-0.13542502,-0.13531713,-0.1650876,-0.15375027,-0.11315632,-0.110563636,0.021722253,0.10987937,0.1666899,0.08479128,-0.056613296,-0.15872142,-0.12087825,-0.12656902,-0.06274247,-0.20688796,-0.16222881,-0.12121728,-0.10797703,-0.12680906,-0.0982536,-0.04975396,-0.14267667,-0.14428742,-0.15847981,-0.038086,-0.05888725,-0.049655125,-0.0018197227,-0.12611383,0.051368084,-0.07497402,-0.2144772,-0.13266106,-0.18460067,-0.1441303,-0.14571302,-0.08988103,-0.18199986,0.24942304,-0.43235445,0.41781884,0.09713558,0.23989126,0.0662294,0.16100062,0.23890088,0.21308222,0.15940544,0.2392176,0.12262318,0.28029078,0.15849662,0.11021892,0.42980415,0.2700789,0.20636262,0.1263168,0.057755027,-0.013724135,-0.07840529,-0.10664298,-0.14778973,-0.23344044,-0.41426298,-0.6894567,0.20300841,0.11304654,0.008944819,-0.084744714,0.02781613,0.07117777,0.07105024,0.06251532,0.12148286,0.17539264,0.18535513,0.10535076,0.16625698,0.14348085,0.0840819,0.043922607,0.1501333,0.3297132,0.33163312,0.0022878943,-0.04989518,-0.0061108978,0.011558967,-0.0012382192,0.0032807945,-0.022009537,-0.056431007,-0.06092776,-0.07627709,-0.09898848,-0.10945863,-0.08910855,-0.116454266,-0.11348954,-0.12341705,-0.17596468,-0.20349792,-0.24234605,-0.2887085,-0.3621746,-0.37995708,-0.40199018,-0.36202085,-0.28931537,-0.34244338,0.17514162,-0.08613678,0.06573279,0.1596875,0.10805753,0.07861407,-0.07434153,0.08408793,0.10684006,0.09128783,0.09566048,0.06130252,0.018719038,0.06584214,0.033212602,0.0024552774,-0.028570829,-0.05391734,-0.034563374,-0.09046847,-0.0812774,-0.09121919,-0.10511044,-0.10268133,-0.041106813,-0.026743805,0.0018676923,0.0008042832,0.035708696,0.1006601,0.18620934,0.109933175,0.0736731,0.043443337,0.034077324,0.00021112338,-0.036571592,-0.0926185,-0.09249351,-0.10973149,-0.15905939,-0.13883111,-0.10931529,-0.14568958,-0.04357252,-0.062889844,-0.07719179,-0.09443439,0.056608733,0.08361291,0.11993736,0.13308993,0.13778274,0.21356884,0.21145779,0.20302647,0.17479993,0.3375422,0.2926509,0.51273763,0.39616394
