Class_A,Class_B,Separation_Accuracy_%,Top_10_Important_Bands
7,14,100.0,"20, 21, 34, 19, 22, 5, 197, 145, 9, 10"
7,15,100.0,"89, 90, 32, 87, 75, 30, 29, 1, 102, 110"
7,16,100.0,"57, 30, 2, 99, 75, 32, 65, 96, 66, 98"
8,9,100.0,"75, 24, 25, 40, 39, 23, 41, 42, 38, 43"
8,10,100.0,"102, 101, 75, 38, 100, 39, 41, 99, 28, 26"
8,11,100.0,"28, 27, 26, 100, 79, 106, 101, 102, 107, 98"
8,12,100.0,"99, 101, 100, 75, 102, 98, 95, 92, 28, 27"
8,13,100.0,"75, 28, 27, 78, 29, 82, 105, 26, 98, 95"
8,14,100.0,"19, 20, 21, 34, 22, 5, 198, 11, 10, 15"
8,15,100.0,"28, 27, 75, 26, 23, 29, 57, 61, 108, 106"
8,16,99.42,"5, 10, 17, 15, 19, 16, 14, 18, 13, 8"
9,10,99.66,"57, 61, 25, 24, 23, 26, 105, 147, 148, 149"
9,11,100.0,"75, 39, 43, 41, 42, 26, 38, 19, 44, 24"
9,12,100.0,"105, 24, 40, 23, 39, 25, 42, 43, 57, 41"
9,13,98.53,"33, 32, 24, 22, 27, 1, 26, 38, 29, 28"
9,14,100.0,"19, 75, 22, 21, 34, 3, 200, 186, 182, 177"
9,15,95.9,"34, 186, 194, 22, 184, 24, 146, 178, 181, 177"
9,16,100.0,"25, 24, 26, 23, 2, 31, 4, 13, 11, 12"
10,11,90.28,"20, 19, 159, 37, 22, 140, 21, 160, 36, 97"
10,12,99.57,"149, 150, 162, 148, 160, 172, 154, 185, 161, 163"
10,13,99.72,"105, 61, 144, 151, 57, 30, 5, 101, 75, 8"
10,14,100.0,"75, 19, 34, 20, 21, 186, 188, 61, 136, 174"
10,15,100.0,"78, 33, 104, 3, 31, 26, 2, 4, 61, 181"
10,16,99.69,"94, 85, 83, 86, 84, 2, 75, 13, 11, 89"
11,12,96.07,"149, 172, 42, 150, 154, 148, 173, 171, 58, 82"
11,13,99.87,"75, 61, 91, 85, 19, 28, 88, 87, 89, 45"
11,14,99.73,"3, 144, 35, 2, 18, 78, 80, 90, 89, 20"
11,15,99.65,"199, 2, 75, 3, 78, 61, 106, 81, 80, 22"
11,16,99.74,"144, 3, 88, 9, 182, 104, 1, 14, 12, 13"
12,13,100.0,"105, 61, 57, 40, 48, 77, 42, 3, 52, 43"
12,14,100.0,"19, 57, 61, 76, 20, 35, 74, 78, 62, 56"
12,15,99.32,"56, 104, 26, 33, 3, 30, 4, 28, 31, 27"
12,16,100.0,"107, 57, 2, 198, 3, 4, 144, 6, 8, 196"
13,14,99.77,"20, 33, 104, 26, 25, 31, 13, 17, 81, 27"
13,15,97.75,"75, 4, 7, 1, 3, 35, 8, 33, 17, 20"
13,16,100.0,"4, 8, 6, 30, 3, 7, 5, 11, 14, 13"
14,15,94.35,"62, 78, 79, 130, 72, 93, 80, 60, 59, 68"
14,16,100.0,"19, 34, 20, 18, 15, 8, 9, 4, 6, 10"
15,16,100.0,"145, 2, 107, 29, 28, 30, 26, 15, 27, 8"
