Crop_Class,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22,Band_23,Band_24,Band_25,Band_26,Band_27,Band_28,Band_29,Band_30,Band_31,Band_32,Band_33,Band_34,Band_35,Band_36,Band_37,Band_38,Band_39,Band_40,Band_41,Band_42,Band_43,Band_44,Band_45,Band_46,Band_47,Band_48,Band_49,Band_50,Band_51,Band_52,Band_53,Band_54,Band_55,Band_56,Band_57,Band_58,Band_59,Band_60,Band_61,Band_62,Band_63,Band_64,Band_65,Band_66,Band_67,Band_68,Band_69,Band_70,Band_71,Band_72,Band_73,Band_74,Band_75,Band_76,Band_77,Band_78,Band_79,Band_80,Band_81,Band_82,Band_83,Band_84,Band_85,Band_86,Band_87,Band_88,Band_89,Band_90,Band_91,Band_92,Band_93,Band_94,Band_95,Band_96,Band_97,Band_98,Band_99,Band_100,Band_101,Band_102,Band_103,Band_104,Band_105,Band_106,Band_107,Band_108,Band_109,Band_110,Band_111,Band_112,Band_113,Band_114,Band_115,Band_116,Band_117,Band_118,Band_119,Band_120,Band_121,Band_122,Band_123,Band_124,Band_125,Band_126,Band_127,Band_128,Band_129,Band_130,Band_131,Band_132,Band_133,Band_134,Band_135,Band_136,Band_137,Band_138,Band_139,Band_140,Band_141,Band_142,Band_143,Band_144,Band_145,Band_146,Band_147,Band_148,Band_149,Band_150,Band_151,Band_152,Band_153,Band_154,Band_155,Band_156,Band_157,Band_158,Band_159,Band_160,Band_161,Band_162,Band_163,Band_164,Band_165,Band_166,Band_167,Band_168,Band_169,Band_170,Band_171,Band_172,Band_173,Band_174,Band_175,Band_176,Band_177,Band_178,Band_179,Band_180,Band_181,Band_182,Band_183,Band_184,Band_185,Band_186,Band_187,Band_188,Band_189,Band_190,Band_191,Band_192,Band_193,Band_194,Band_195,Band_196,Band_197,Band_198,Band_199,Band_200,Band_201,Band_202,Band_203,Band_204,Band_205,Band_206,Band_207,Band_208,Band_209,Band_210,Band_211,Band_212,Band_213,Band_214,Band_215,Band_216,Band_217
potatoes,0.15235211,0.16245726,0.25322428,0.13937181,0.89246964,0.6293778,0.44680944,0.53102356,0.22315261,0.38873813,0.5989067,0.997584,0.6572675,0.74564564,0.6953946,0.6530834,0.5269115,0.2201663,-0.20385417,-0.7097147,-1.1887132,-1.9480553,-1.9008558,-1.6148896,-1.195671,-1.0047162,-0.67131805,-0.45876,-0.17367001,-0.13427244,0.020596698,0.06083177,0.26529324,0.21670803,0.28638598,0.32846215,0.30772758,0.061279587,0.24327359,0.07919813,0.1743053,0.13222913,0.0019568857,-0.0029423945,0.21203877,0.25626886,0.23802646,0.46879005,0.587792,0.5245912,0.4444062,-0.5442411,-1.0291295,-1.5316247,-0.27596107,0.094134964,0.25681916,-0.08437076,-0.003922134,0.35883597,0.92523897,0.057308927,-0.1472681,0.27142423,0.20642988,0.07158189,0.12738019,0.3118379,-0.11554747,-0.43986353,-0.16348231,0.17778929,-0.089852266,-0.022996653,-0.34889206,-0.038273737,-0.049797233,-0.31104204,-0.071116075,-0.052630857,-0.5465724,0.1205728,-0.500149,0.15740564,-0.5842576,0.23817043,-0.9443631,-0.08808364,0.17124371,0.6324339,0.34791058,0.8767815,0.7154362,0.74281603,0.17432366,0.797735,0.2441912,0.676101,0.5861066,0.67223483,-0.067937285,0.35235596,0.2788267,-0.09943908,-0.37515932,-0.50633985,-0.61153084,-0.8735039,-1.0065222,-0.9293428,-1.1462381,-1.8164146,-0.13442987,-0.74348557,0.19336514,0.5887222,0.48578325,0.63269854,0.69661665,0.8312726,0.69081444,0.29568416,-0.11443309,-0.15125558,-0.15093777,-0.31559616,-0.36719725,-0.5846143,-0.85670686,-0.9255595,-0.14400268,-0.57463723,-0.28569734,-0.12758097,-0.1601219,0.079568736,0.082556956,0.2513785,0.24254993,0.41969952,0.31607056,0.29783568,0.4156856,0.36449406,0.3480315,0.5259475,0.3792922,0.45584086,0.47086754,0.32404017,0.51896834,0.41749385,0.65332514,0.84993535,0.59284276,0.31747934,0.6040069,0.9278453,-0.6898523,-0.32353145,-0.5286544,-0.537511,-0.68521464,-0.8054078,-0.624707,-0.4555205,-0.47547522,-0.42319626,-0.40417185,-0.32587188,-0.18577375,-0.025738262,0.04669404,0.106081896,0.17558892,0.14463551,0.21034415,0.06987447,0.15074843,0.1492827,0.05861868,-0.073091805,-0.13109423,-0.23696733,-0.29858696,-0.34688383,-0.56805694,-0.6640988,-0.40882316,-0.3472411,-0.16388883,-0.17163889,0.037759263,0.14700216,0.15750349,0.23526302,0.1871195,0.21588425,0.2461108,0.36855686,0.34726906,0.34522653,0.1104654,0.23370665,0.19045833,0.16485761,-0.10727221,-0.14260283,-0.38668445,-0.2703596,-0.41677818,-0.4255265,-0.43922958,-0.007989214,-0.3309021,-0.5262866,-0.40985486,-0.3153204
beetroot_beets,1.0725764,0.8511513,0.1262663,0.70919675,0.10070006,-0.4766976,-0.32876745,-0.48801917,-0.3961753,-0.28328046,-0.40403184,-0.34664634,-0.5566479,-0.51849747,-0.7517609,-0.7398727,-0.7319893,-0.5322325,-0.22497815,0.106580555,0.21580753,0.68535924,0.7385461,0.80995566,0.42382112,0.5796119,0.2942347,0.4630235,0.49648196,0.30481908,0.25531015,-0.09793045,0.8654356,0.776604,0.4596699,0.32364428,0.3603529,0.26129094,0.23913312,0.19368571,-0.23578745,-0.3135199,0.114766136,0.14920479,0.07555229,-0.16873252,-0.3335371,-0.54126936,-0.59397954,-0.687647,-0.42664066,0.398331,0.7931184,0.40891555,-0.7956443,-0.29753062,-0.16553183,0.23442337,0.082738884,-0.22706737,-0.6446671,0.43077764,0.27025586,0.06545827,-0.013722827,0.32035726,0.17673145,0.04402588,0.40866646,0.48999754,0.20637341,0.24929006,0.49630108,0.19958276,0.15173803,0.46820748,0.06316176,0.6054673,0.56101394,-0.7440001,0.42234144,-0.0017604941,0.15210962,0.2815236,-0.7466755,-1.1179221,0.43012357,-0.6070951,-0.7419653,-0.51361704,-0.2214937,-0.55661535,0.29104033,-0.8792477,-0.20649646,-1.3926232,-0.31519428,-1.1355288,-0.20310584,-0.91248983,-0.30876043,-0.67576784,-0.5482723,-0.22943825,-0.0156574,0.18037371,0.6656794,0.70006657,0.82483697,0.8702683,0.9856809,2.275305,1.401935,0.3492629,1.8104098,0.5811009,-0.47977638,-0.6439585,-0.3719281,-0.2922099,-0.35992703,-0.09311709,-0.10025001,0.24799976,0.42462078,0.4086559,0.10972363,-0.21108897,-0.33771276,1.9230709,1.1348481,0.771996,0.26007187,-0.07326016,-0.32322243,-0.5638605,-0.63961554,-0.8366108,-0.81534606,-0.9623757,-0.7863991,-0.87200934,-0.88807696,-0.8490063,-0.757133,-0.7704281,-0.8326817,-0.56290936,-0.53436315,-0.41049278,-0.29274854,0.018357582,-0.1750143,-0.12205422,0.099788375,-0.05890938,-0.18709318,-1.8460548,-0.1349654,0.22808169,1.0659647,1.1810857,1.2435654,1.4184375,1.4149122,1.1969032,0.9287142,0.798982,0.7316657,0.61319363,0.40442562,0.27475706,0.06269862,0.047530554,-0.050250255,-0.16108222,-0.107376255,-0.10036749,-0.12485791,-0.19432625,-0.1311945,-0.13819057,-0.14438795,-0.0598391,0.017921437,-0.18592349,-0.11426611,-0.30012646,-0.10735509,-0.05128969,-0.11599716,-0.14838253,-0.19449706,-0.3253772,-0.2960717,-0.26648217,-0.10369812,-0.070725985,0.008701564,-0.090941094,-0.13286394,-0.26035628,-0.29051563,-0.2951091,-0.3349044,-0.102272205,-0.21571922,-0.023044232,0.025535563,-0.040891826,-0.022230634,-0.07358837,0.061675332,-0.35304153,-0.0482071,-0.2544707,-0.2875386,-0.30200794
carrots_daucus,1.1276878,0.7117387,0.46931782,0.27458087,-0.1703405,-0.65623826,-0.4949678,-0.470616,-0.49334273,-0.65275544,-1.0361766,-0.9955121,-1.1374702,-1.0549402,-1.3492963,-1.2693838,-1.0926386,-1.0233357,-0.8139977,-0.61553323,-0.22145808,-0.04605145,0.2389507,0.5288613,0.23320939,0.3306305,0.19510956,0.32063997,0.228535,0.3201298,0.49831697,0.44204488,0.8270584,0.7557066,0.8310317,0.75675404,0.65064335,0.6087345,0.5311774,0.51077694,0.43028775,0.42150784,0.41640514,0.2134514,0.3105528,0.1319077,0.04899416,-0.28778598,-0.30625448,-0.23635599,0.19579935,0.5268979,0.43930396,0.28011465,-0.62388164,-0.6332662,-0.8301424,-0.3138629,-0.1990018,-0.17496373,-0.5254231,1.2441361,0.36551592,0.11088304,-0.011526657,0.00036062,-0.14798404,-0.36172977,0.46535212,0.52269757,0.3732326,0.047602963,0.59445995,0.14584486,0.13650748,0.5860775,-0.475892,1.1410611,0.23373823,0.041056544,0.66266644,0.16977401,-0.24954613,-0.23893684,-0.4371826,-1.6556932,-0.2128526,0.49261898,-0.5134542,0.1680338,-0.81163967,-1.1394687,-1.6416156,-1.1454153,0.10507982,-0.7700025,-0.08366633,-0.61991304,-0.052790478,0.21442331,-0.24711475,0.03166547,0.087802045,0.18932788,0.289289,0.567274,0.58523446,0.6563099,0.5363543,0.38304597,-0.088908955,0.11319035,0.281554,-0.06689558,-0.86691076,-0.90301913,-0.28023687,0.25552663,0.59612674,0.69968003,0.7513571,0.71277684,0.6176927,0.5775449,0.63700885,0.56979305,-0.040883012,-0.47096017,-0.40056014,2.118053,1.9037356,0.8415656,0.26704216,0.16350788,0.105447024,0.07290091,0.061532795,0.0338706,0.02041536,0.03400688,0.010169474,-0.103057206,-0.17236985,-0.27020437,-0.23003027,-0.4968256,-0.6169028,-0.52968585,-0.45696732,-0.25763285,-0.29531068,-0.11035991,0.041704714,0.11044892,0.06217131,-0.1422168,-0.1846011,-0.9867656,-0.04880136,0.274992,-0.31477225,-0.6529688,-0.7721669,-1.3745955,0.018440789,-0.122228034,-0.40754193,-0.3410361,-0.15690333,-0.08630064,0.4708817,0.42720473,0.43940642,0.411334,0.52661425,0.60874426,0.61832213,0.50996643,0.5969514,0.5514122,0.21361928,0.14629085,0.066682965,-0.105117284,-0.3717805,-0.47223565,-0.5949209,-0.631523,-0.33157197,-0.08622721,0.15400863,0.2117913,0.47734863,0.6173424,0.6554757,0.76908565,0.72243506,0.70345277,0.8933333,0.91845155,0.52439207,0.41357622,0.21841936,-0.008141765,-0.10236295,0.072099075,-0.08118429,-0.21285632,-0.3099602,-0.61407036,-0.30192143,-0.3724517,-0.7731525,-1.0982623,-0.2153624,-0.6859056,0.060140006,-1.1540438
turnips,-1.7841061,-1.5208548,-0.8817797,-0.86625105,-0.4763966,0.11886251,0.26673996,0.38042593,0.6124253,0.74255306,0.93361086,0.67387646,0.93072855,0.87865275,1.4480641,1.1214654,0.9190025,1.0743587,1.0331949,0.9960346,0.9527819,0.88386214,0.54840755,0.3099895,0.2952304,0.0004913216,-0.14769252,-0.53550035,-0.72721374,-0.8032617,-0.8477444,-0.65417045,-1.6248037,-1.4643288,-1.2074054,-1.06954,-0.9180131,-0.7009742,-0.6433182,-0.52062446,-0.09500278,-0.0023164416,-0.23752965,-0.08806217,-0.16803211,0.052439395,0.04988813,0.3021056,0.30085948,0.27153674,0.0624614,0.12913488,0.48767793,0.8114623,1.1099517,0.38391474,0.23265228,-0.21321413,0.04894953,0.16074806,0.28453845,-0.94265795,-0.16249944,-0.016200086,0.08254366,-0.15113397,0.08110845,0.14949203,-0.45869583,-0.3508215,-0.35647953,-0.16229719,-0.50434995,-0.012149839,-0.10678074,-0.45355615,0.42546955,-0.79875255,-0.26380935,0.36492476,-0.29859874,-0.0709524,0.049106542,-0.07985037,0.8400141,0.93224967,0.3790531,-0.016834714,0.8890977,0.5904833,0.27378282,1.1345624,0.56072664,0.22336218,-0.40674958,0.43176705,0.11269157,0.23339315,-0.05742849,-0.37169865,0.30314243,-0.008928058,0.098597184,-0.056801237,0.017265102,0.01475463,-0.28110823,-0.34065843,-0.20138617,-0.19106925,0.08665501,-0.17081784,-0.98342997,1.187718,-1.0655612,-0.9209592,-0.13193685,-0.37459856,-0.6314212,-0.9173474,-0.7898879,-0.6416894,-0.14932856,-0.12970024,-0.3111992,-0.30092886,0.5111934,1.1613038,1.7880327,-1.386324,-1.6315521,-0.448454,-0.17568986,0.13480096,0.215802,0.34299004,0.28752804,0.3793089,0.2823443,0.26961103,0.28078803,0.3365179,0.39081222,0.50737196,0.3451478,0.50617003,0.73436403,0.4610687,0.28415376,0.18833762,-0.15991034,-0.32842454,-0.47304696,-0.55568516,-0.45346838,0.10684274,0.09608644,0.6285405,0.12168491,-0.14685921,-0.2146069,0.07416735,0.23671335,0.7543327,0.099273525,0.26922998,0.16686778,0.12149409,0.099737905,0.115628414,-0.377912,-0.44118017,-0.5364664,-0.49746758,-0.6509896,-0.651952,-0.7388008,-0.58186257,-0.74146885,-0.6628147,-0.25604916,0.005832205,0.06250752,0.30265605,0.66419756,0.8791622,1.1820812,1.3128501,0.6921757,0.24043435,0.0013827035,-0.116508976,-0.55418104,-0.7800588,-0.8061833,-0.9622197,-0.9467718,-0.94247854,-1.1179904,-1.0778626,-0.7840518,-0.64909464,-0.41821522,-0.13379093,-0.0142911635,-0.059249077,0.13162655,0.4241351,0.5666927,0.9427024,0.7719832,0.80904096,1.1093419,1.5019635,0.9122046,1.1664604,0.64558655,1.5246762
